"Step","Group: text10-vision0 - evaluation/blimp/subject_verb_agreement","Group: text10-vision0 - evaluation/blimp/subject_verb_agreement__MIN","Group: text10-vision0 - evaluation/blimp/subject_verb_agreement__MAX","Group: text1-vision0 - evaluation/blimp/subject_verb_agreement","Group: text1-vision0 - evaluation/blimp/subject_verb_agreement__MIN","Group: text1-vision0 - evaluation/blimp/subject_verb_agreement__MAX","Group: text1-vision100 - evaluation/blimp/subject_verb_agreement","Group: text1-vision100 - evaluation/blimp/subject_verb_agreement__MIN","Group: text1-vision100 - evaluation/blimp/subject_verb_agreement__MAX","Group: text1-vision10 - evaluation/blimp/subject_verb_agreement","Group: text1-vision10 - evaluation/blimp/subject_verb_agreement__MIN","Group: text1-vision10 - evaluation/blimp/subject_verb_agreement__MAX","Group: text1-vision1 - evaluation/blimp/subject_verb_agreement","Group: text1-vision1 - evaluation/blimp/subject_verb_agreement__MIN","Group: text1-vision1 - evaluation/blimp/subject_verb_agreement__MAX","Group: text10-vision1 - evaluation/blimp/subject_verb_agreement","Group: text10-vision1 - evaluation/blimp/subject_verb_agreement__MIN","Group: text10-vision1 - evaluation/blimp/subject_verb_agreement__MAX","Group: text10-vision10 - evaluation/blimp/subject_verb_agreement","Group: text10-vision10 - evaluation/blimp/subject_verb_agreement__MIN","Group: text10-vision10 - evaluation/blimp/subject_verb_agreement__MAX","Group: text10-vision100 - evaluation/blimp/subject_verb_agreement","Group: text10-vision100 - evaluation/blimp/subject_verb_agreement__MIN","Group: text10-vision100 - evaluation/blimp/subject_verb_agreement__MAX"
"130","49.25","49.11000061035156","49.38999938964844","49.25","49.04999923706055","49.45000076293945","46.900001525878906","46.900001525878906","46.900001525878906","52.290000915527344","52.290000915527344","52.290000915527344","50.59000015258789","50.59000015258789","50.59000015258789","48.060001373291016","48.060001373291016","48.060001373291016","","","","","",""
"131","49.630001068115234","49.630001068115234","49.630001068115234","","","","","","","","","","","","","","","","49.45000076293945","49.45000076293945","49.45000076293945","49.470001220703125","49.470001220703125","49.470001220703125"
"327","48.90999984741211","48.79999923706055","49.02000045776367","49.44999885559082","48.869998931884766","50.029998779296875","","","","","","","","","","","","","","","","","",""
"328","50.16999816894531","50.16999816894531","50.16999816894531","","","","","","","","","","","","","","","","","","","","",""
"332","","","","","","","50.709999084472656","50.709999084472656","50.709999084472656","51.58000183105469","51.58000183105469","51.58000183105469","49.7599983215332","49.7599983215332","49.7599983215332","50.81999969482422","50.81999969482422","50.81999969482422","","","","","",""
"333","","","","","","","","","","","","","","","","","","","50.349998474121094","50.349998474121094","50.349998474121094","50.529998779296875","50.529998779296875","50.529998779296875"
"459","49.6200008392334","49.540000915527344","49.70000076293945","49.88999938964844","49.52000045776367","50.2599983215332","","","","","","","","","","","","","","","","","",""
"460","49.790000915527344","49.790000915527344","49.790000915527344","","","","","","","","","","","","","","","","","","","","",""
"469","","","","","","","50.619998931884766","50.619998931884766","50.619998931884766","49.83000183105469","49.83000183105469","49.83000183105469","48.58000183105469","48.58000183105469","48.58000183105469","50.529998779296875","50.529998779296875","50.529998779296875","","","","","",""
"470","","","","","","","","","","","","","","","","","","","50.08000183105469","50.08000183105469","50.08000183105469","50.54999923706055","50.54999923706055","50.54999923706055"
