"Step","Group: text10-vision0 - evaluation/blimp/filler_gap","Group: text10-vision0 - evaluation/blimp/filler_gap__MIN","Group: text10-vision0 - evaluation/blimp/filler_gap__MAX","Group: text1-vision0 - evaluation/blimp/filler_gap","Group: text1-vision0 - evaluation/blimp/filler_gap__MIN","Group: text1-vision0 - evaluation/blimp/filler_gap__MAX","Group: text1-vision100 - evaluation/blimp/filler_gap","Group: text1-vision100 - evaluation/blimp/filler_gap__MIN","Group: text1-vision100 - evaluation/blimp/filler_gap__MAX","Group: text1-vision10 - evaluation/blimp/filler_gap","Group: text1-vision10 - evaluation/blimp/filler_gap__MIN","Group: text1-vision10 - evaluation/blimp/filler_gap__MAX","Group: text1-vision1 - evaluation/blimp/filler_gap","Group: text1-vision1 - evaluation/blimp/filler_gap__MIN","Group: text1-vision1 - evaluation/blimp/filler_gap__MAX","Group: text10-vision1 - evaluation/blimp/filler_gap","Group: text10-vision1 - evaluation/blimp/filler_gap__MIN","Group: text10-vision1 - evaluation/blimp/filler_gap__MAX","Group: text10-vision10 - evaluation/blimp/filler_gap","Group: text10-vision10 - evaluation/blimp/filler_gap__MIN","Group: text10-vision10 - evaluation/blimp/filler_gap__MAX","Group: text10-vision100 - evaluation/blimp/filler_gap","Group: text10-vision100 - evaluation/blimp/filler_gap__MIN","Group: text10-vision100 - evaluation/blimp/filler_gap__MAX"
"130","51.314998626708984","50.869998931884766","51.7599983215332","54.69499969482422","43.08000183105469","66.30999755859375","70.58999633789062","70.58999633789062","70.58999633789062","70.76000213623047","70.76000213623047","70.76000213623047","39.70000076293945","39.70000076293945","39.70000076293945","49.86000061035156","49.86000061035156","49.86000061035156","","","","","",""
"131","41.61000061035156","41.61000061035156","41.61000061035156","","","","","","","","","","","","","","","","47.459999084472656","47.459999084472656","47.459999084472656","46.650001525878906","46.650001525878906","46.650001525878906"
"327","63.51999855041504","57.59000015258789","69.44999694824219","70.34500122070312","69.7300033569336","70.95999908447266","","","","","","","","","","","","","","","","","",""
"328","67.94000244140625","67.94000244140625","67.94000244140625","","","","","","","","","","","","","","","","","","","","",""
"332","","","","","","","71.04000091552734","71.04000091552734","71.04000091552734","71.05999755859375","71.05999755859375","71.05999755859375","71.04000091552734","71.04000091552734","71.04000091552734","71.05999755859375","71.05999755859375","71.05999755859375","","","","","",""
"333","","","","","","","","","","","","","","","","","","","71.0199966430664","71.0199966430664","71.0199966430664","71.05999755859375","71.05999755859375","71.05999755859375"
"459","70.875","70.7300033569336","71.0199966430664","70.57499694824219","70.44999694824219","70.69999694824219","","","","","","","","","","","","","","","","","",""
"460","70.5999984741211","70.5999984741211","70.5999984741211","","","","","","","","","","","","","","","","","","","","",""
"469","","","","","","","70.91999816894531","70.91999816894531","70.91999816894531","69.52999877929688","69.52999877929688","69.52999877929688","65.4800033569336","65.4800033569336","65.4800033569336","56.86000061035156","56.86000061035156","56.86000061035156","","","","","",""
"470","","","","","","","","","","","","","","","","","","","71.04000091552734","71.04000091552734","71.04000091552734","71.04000091552734","71.04000091552734","71.04000091552734"
"656","70.29499816894531","69.88999938964844","70.69999694824219","67.39500045776367","67.16000366210938","67.62999725341797","","","","","","","","","","","","","","","","","",""
"657","66.2300033569336","66.2300033569336","66.2300033569336","","","","","","","","","","","","","","","","","","","","",""
"671","","","","","","","62.560001373291016","62.560001373291016","62.560001373291016","65.37999725341797","65.37999725341797","65.37999725341797","58.41999816894531","58.41999816894531","58.41999816894531","63.119998931884766","63.119998931884766","63.119998931884766","","","","","",""
"672","","","","","","","","","","","","","","","","","","","64.98999786376953","64.98999786376953","64.98999786376953","62.68000030517578","62.68000030517578","62.68000030517578"
"788","67.79500198364258","66.62000274658203","68.97000122070312","68.40499877929688","67.72000122070312","69.08999633789062","","","","","","","","","","","","","","","","","",""
"789","68.30000305175781","68.30000305175781","68.30000305175781","","","","","","","","","","","","","","","","","","","","",""
"808","","","","","","","65.58000183105469","65.58000183105469","65.58000183105469","66.11000061035156","66.11000061035156","66.11000061035156","69","69","69","69.37000274658203","69.37000274658203","69.37000274658203","","","","","",""
"809","","","","","","","","","","","","","","","","","","","60.68000030517578","60.68000030517578","60.68000030517578","66.66999816894531","66.66999816894531","66.66999816894531"
"985","67.77499771118164","67.05999755859375","68.48999786376953","68.53499984741211","67.56999969482422","69.5","","","","","","","","","","","","","","","","","",""
