"Step","Group: text10-vision0 - evaluation/blimp/anaphor_agreement","Group: text10-vision0 - evaluation/blimp/anaphor_agreement__MIN","Group: text10-vision0 - evaluation/blimp/anaphor_agreement__MAX","Group: text1-vision0 - evaluation/blimp/anaphor_agreement","Group: text1-vision0 - evaluation/blimp/anaphor_agreement__MIN","Group: text1-vision0 - evaluation/blimp/anaphor_agreement__MAX","Group: text1-vision100 - evaluation/blimp/anaphor_agreement","Group: text1-vision100 - evaluation/blimp/anaphor_agreement__MIN","Group: text1-vision100 - evaluation/blimp/anaphor_agreement__MAX","Group: text1-vision10 - evaluation/blimp/anaphor_agreement","Group: text1-vision10 - evaluation/blimp/anaphor_agreement__MIN","Group: text1-vision10 - evaluation/blimp/anaphor_agreement__MAX","Group: text1-vision1 - evaluation/blimp/anaphor_agreement","Group: text1-vision1 - evaluation/blimp/anaphor_agreement__MIN","Group: text1-vision1 - evaluation/blimp/anaphor_agreement__MAX","Group: text10-vision1 - evaluation/blimp/anaphor_agreement","Group: text10-vision1 - evaluation/blimp/anaphor_agreement__MIN","Group: text10-vision1 - evaluation/blimp/anaphor_agreement__MAX","Group: text10-vision10 - evaluation/blimp/anaphor_agreement","Group: text10-vision10 - evaluation/blimp/anaphor_agreement__MIN","Group: text10-vision10 - evaluation/blimp/anaphor_agreement__MAX","Group: text10-vision100 - evaluation/blimp/anaphor_agreement","Group: text10-vision100 - evaluation/blimp/anaphor_agreement__MIN","Group: text10-vision100 - evaluation/blimp/anaphor_agreement__MAX"
"130","35.51000118255615","31.190000534057617","39.83000183105469","36.579999923706055","30.110000610351562","43.04999923706055","33.59000015258789","33.59000015258789","33.59000015258789","44.16999816894531","44.16999816894531","44.16999816894531","54.810001373291016","54.810001373291016","54.810001373291016","41.5099983215332","41.5099983215332","41.5099983215332","","","","","",""
"131","32.11000061035156","32.11000061035156","32.11000061035156","","","","","","","","","","","","","","","","33.380001068115234","33.380001068115234","33.380001068115234","33.279998779296875","33.279998779296875","33.279998779296875"
"327","33.769999504089355","31.600000381469727","35.939998626708984","29.425000190734863","29.399999618530273","29.450000762939453","","","","","","","","","","","","","","","","","",""
"328","29.450000762939453","29.450000762939453","29.450000762939453","","","","","","","","","","","","","","","","","","","","",""
"332","","","","","","","29.399999618530273","29.399999618530273","29.399999618530273","30.31999969482422","30.31999969482422","30.31999969482422","33.900001525878906","33.900001525878906","33.900001525878906","39.779998779296875","39.779998779296875","39.779998779296875","","","","","",""
"333","","","","","","","","","","","","","","","","","","","28.68000030517578","28.68000030517578","28.68000030517578","31.34000015258789","31.34000015258789","31.34000015258789"
"459","34.329999923706055","32","36.65999984741211","31.34000015258789","27.610000610351562","35.06999969482422","","","","","","","","","","","","","","","","","",""
"460","35.58000183105469","35.58000183105469","35.58000183105469","","","","","","","","","","","","","","","","","","","","",""
"469","","","","","","","29.139999389648438","29.139999389648438","29.139999389648438","37.06999969482422","37.06999969482422","37.06999969482422","38.290000915527344","38.290000915527344","38.290000915527344","36.810001373291016","36.810001373291016","36.810001373291016","","","","","",""
"470","","","","","","","","","","","","","","","","","","","34.40999984741211","34.40999984741211","34.40999984741211","36.54999923706055","36.54999923706055","36.54999923706055"
"656","34.970001220703125","33.130001068115234","36.810001373291016","32.260000228881836","29.139999389648438","35.380001068115234","","","","","","","","","","","","","","","","","",""
"657","35.33000183105469","35.33000183105469","35.33000183105469","","","","","","","","","","","","","","","","","","","","",""
"671","","","","","","","32.81999969482422","32.81999969482422","32.81999969482422","37.06999969482422","37.06999969482422","37.06999969482422","41.40999984741211","41.40999984741211","41.40999984741211","43.709999084472656","43.709999084472656","43.709999084472656","","","","","",""
"672","","","","","","","","","","","","","","","","","","","37.470001220703125","37.470001220703125","37.470001220703125","38.79999923706055","38.79999923706055","38.79999923706055"
"788","36.53000068664551","31.34000015258789","41.720001220703125","40.23500061035156","32.310001373291016","48.15999984741211","","","","","","","","","","","","","","","","","",""
"789","45.959999084472656","45.959999084472656","45.959999084472656","","","","","","","","","","","","","","","","","","","","",""
"808","","","","","","","39.720001220703125","39.720001220703125","39.720001220703125","47.189998626708984","47.189998626708984","47.189998626708984","51.22999954223633","51.22999954223633","51.22999954223633","53.72999954223633","53.72999954223633","53.72999954223633","","","","","",""
"809","","","","","","","","","","","","","","","","","","","44.84000015258789","44.84000015258789","44.84000015258789","46.52000045776367","46.52000045776367","46.52000045776367"
"985","41.05500030517578","33.4900016784668","48.619998931884766","42.510000228881836","37.779998779296875","47.2400016784668","","","","","","","","","","","","","","","","","",""
"986","46.779998779296875","46.779998779296875","46.779998779296875","","","","","","","","","","","","","","","","","","","","",""
