"Step","Group: text10-vision0 - evaluation/blimp/island_effects","Group: text10-vision0 - evaluation/blimp/island_effects__MIN","Group: text10-vision0 - evaluation/blimp/island_effects__MAX","Group: text1-vision0 - evaluation/blimp/island_effects","Group: text1-vision0 - evaluation/blimp/island_effects__MIN","Group: text1-vision0 - evaluation/blimp/island_effects__MAX","Group: text1-vision100 - evaluation/blimp/island_effects","Group: text1-vision100 - evaluation/blimp/island_effects__MIN","Group: text1-vision100 - evaluation/blimp/island_effects__MAX","Group: text1-vision10 - evaluation/blimp/island_effects","Group: text1-vision10 - evaluation/blimp/island_effects__MIN","Group: text1-vision10 - evaluation/blimp/island_effects__MAX","Group: text1-vision1 - evaluation/blimp/island_effects","Group: text1-vision1 - evaluation/blimp/island_effects__MIN","Group: text1-vision1 - evaluation/blimp/island_effects__MAX","Group: text10-vision1 - evaluation/blimp/island_effects","Group: text10-vision1 - evaluation/blimp/island_effects__MIN","Group: text10-vision1 - evaluation/blimp/island_effects__MAX","Group: text10-vision10 - evaluation/blimp/island_effects","Group: text10-vision10 - evaluation/blimp/island_effects__MIN","Group: text10-vision10 - evaluation/blimp/island_effects__MAX","Group: text10-vision100 - evaluation/blimp/island_effects","Group: text10-vision100 - evaluation/blimp/island_effects__MIN","Group: text10-vision100 - evaluation/blimp/island_effects__MAX"
"130","49.66499900817871","47.90999984741211","51.41999816894531","52.20500183105469","51.83000183105469","52.58000183105469","53.060001373291016","53.060001373291016","53.060001373291016","49.88999938964844","49.88999938964844","49.88999938964844","45.220001220703125","45.220001220703125","45.220001220703125","51.20000076293945","51.20000076293945","51.20000076293945","","","","","",""
"131","52.43000030517578","52.43000030517578","52.43000030517578","","","","","","","","","","","","","","","","50.63999938964844","50.63999938964844","50.63999938964844","50.40999984741211","50.40999984741211","50.40999984741211"
"327","50.470001220703125","48.36000061035156","52.58000183105469","50.18499946594238","49.099998474121094","51.27000045776367","","","","","","","","","","","","","","","","","",""
"328","49.779998779296875","49.779998779296875","49.779998779296875","","","","","","","","","","","","","","","","","","","","",""
"332","","","","","","","50.189998626708984","50.189998626708984","50.189998626708984","50.93000030517578","50.93000030517578","50.93000030517578","47.27000045776367","47.27000045776367","47.27000045776367","51.04999923706055","51.04999923706055","51.04999923706055","","","","","",""
"333","","","","","","","","","","","","","","","","","","","48.209999084472656","48.209999084472656","48.209999084472656","47.56999969482422","47.56999969482422","47.56999969482422"
"459","52.635000228881836","49.290000915527344","55.97999954223633","52.48499870300293","50.599998474121094","54.369998931884766","","","","","","","","","","","","","","","","","",""
"460","51.15999984741211","51.15999984741211","51.15999984741211","","","","","","","","","","","","","","","","","","","","",""
"469","","","","","","","48.36000061035156","48.36000061035156","48.36000061035156","50.93000030517578","50.93000030517578","50.93000030517578","48.650001525878906","48.650001525878906","48.650001525878906","50.34000015258789","50.34000015258789","50.34000015258789","","","","","",""
"470","","","","","","","","","","","","","","","","","","","49.959999084472656","49.959999084472656","49.959999084472656","50.599998474121094","50.599998474121094","50.599998474121094"
"656","53.53000068664551","51.15999984741211","55.900001525878906","55.15500068664551","54.220001220703125","56.09000015258789","","","","","","","","","","","","","","","","","",""
"657","55.869998931884766","55.869998931884766","55.869998931884766","","","","","","","","","","","","","","","","","","","","",""
"671","","","","","","","54.189998626708984","54.189998626708984","54.189998626708984","50.93000030517578","50.93000030517578","50.93000030517578","52.16999816894531","52.16999816894531","52.16999816894531","50.75","50.75","50.75","","","","","",""
"672","","","","","","","","","","","","","","","","","","","49.93000030517578","49.93000030517578","49.93000030517578","50.900001525878906","50.900001525878906","50.900001525878906"
"788","55.4900016784668","52.2400016784668","58.7400016784668","56.875","56.459999084472656","57.290000915527344","","","","","","","","","","","","","","","","","",""
"789","59.0099983215332","59.0099983215332","59.0099983215332","","","","","","","","","","","","","","","","","","","","",""
"808","","","","","","","50.06999969482422","50.06999969482422","50.06999969482422","52.31999969482422","52.31999969482422","52.31999969482422","54.220001220703125","54.220001220703125","54.220001220703125","49.630001068115234","49.630001068115234","49.630001068115234","","","","","",""
"809","","","","","","","","","","","","","","","","","","","49.959999084472656","49.959999084472656","49.959999084472656","50","50","50"
"985","59.02499961853027","54.779998779296875","63.27000045776367","58.7450008392334","57.36000061035156","60.130001068115234","","","","","","","","","","","","","","","","","",""
"986","61.25","61.25","61.25","","","","","","","","","","","","","","","","","","","","",""
