"Step","Group: text10-vision0 - evaluation/blimp/binding","Group: text10-vision0 - evaluation/blimp/binding__MIN","Group: text10-vision0 - evaluation/blimp/binding__MAX","Group: text1-vision0 - evaluation/blimp/binding","Group: text1-vision0 - evaluation/blimp/binding__MIN","Group: text1-vision0 - evaluation/blimp/binding__MAX","Group: text1-vision100 - evaluation/blimp/binding","Group: text1-vision100 - evaluation/blimp/binding__MIN","Group: text1-vision100 - evaluation/blimp/binding__MAX","Group: text1-vision10 - evaluation/blimp/binding","Group: text1-vision10 - evaluation/blimp/binding__MIN","Group: text1-vision10 - evaluation/blimp/binding__MAX","Group: text1-vision1 - evaluation/blimp/binding","Group: text1-vision1 - evaluation/blimp/binding__MIN","Group: text1-vision1 - evaluation/blimp/binding__MAX","Group: text10-vision1 - evaluation/blimp/binding","Group: text10-vision1 - evaluation/blimp/binding__MIN","Group: text10-vision1 - evaluation/blimp/binding__MAX","Group: text10-vision10 - evaluation/blimp/binding","Group: text10-vision10 - evaluation/blimp/binding__MIN","Group: text10-vision10 - evaluation/blimp/binding__MAX","Group: text10-vision100 - evaluation/blimp/binding","Group: text10-vision100 - evaluation/blimp/binding__MIN","Group: text10-vision100 - evaluation/blimp/binding__MAX"
"656","63.82500076293945","63.43000030517578","64.22000122070312","63.4900016784668","62.900001525878906","64.08000183105469","","","","","","","","","","","","","","","","","",""
"657","63.880001068115234","63.880001068115234","63.880001068115234","","","","","","","","","","","","","","","","","","","","",""
"671","","","","","","","63.33000183105469","63.33000183105469","63.33000183105469","65.75","65.75","65.75","64.83000183105469","64.83000183105469","64.83000183105469","64.22000122070312","64.22000122070312","64.22000122070312","","","","","",""
"672","","","","","","","","","","","","","","","","","","","62.209999084472656","62.209999084472656","62.209999084472656","62.36000061035156","62.36000061035156","62.36000061035156"
"788","63.05999946594238","62.41999816894531","63.70000076293945","63","61.06999969482422","64.93000030517578","","","","","","","","","","","","","","","","","",""
"789","63.02000045776367","63.02000045776367","63.02000045776367","","","","","","","","","","","","","","","","","","","","",""
"808","","","","","","","62.689998626708984","62.689998626708984","62.689998626708984","64.69000244140625","64.69000244140625","64.69000244140625","63.209999084472656","63.209999084472656","63.209999084472656","64.75","64.75","64.75","","","","","",""
"809","","","","","","","","","","","","","","","","","","","62.130001068115234","62.130001068115234","62.130001068115234","60.95000076293945","60.95000076293945","60.95000076293945"
"985","63.96500015258789","62.849998474121094","65.08000183105469","63.369998931884766","61.529998779296875","65.20999908447266","","","","","","","","","","","","","","","","","",""
"986","63.04999923706055","63.04999923706055","63.04999923706055","","","","","","","","","","","","","","","","","","","","",""
"1010","","","","","","","62.869998931884766","62.869998931884766","62.869998931884766","64.31999969482422","64.31999969482422","64.31999969482422","60.66999816894531","60.66999816894531","60.66999816894531","62.08000183105469","62.08000183105469","62.08000183105469","","","","","",""
"1011","","","","","","","","","","","","","","","","","","","62.81999969482422","62.81999969482422","62.81999969482422","64.55999755859375","64.55999755859375","64.55999755859375"
"1117","61.66499900817871","61.619998931884766","61.709999084472656","64.04999923706055","62.959999084472656","65.13999938964844","","","","","","","","","","","","","","","","","",""
"1118","63.38999938964844","63.38999938964844","63.38999938964844","","","","","","","","","","","","","","","","","","","","",""
"1147","","","","","","","62.599998474121094","62.599998474121094","62.599998474121094","60.2599983215332","60.2599983215332","60.2599983215332","62.18000030517578","62.18000030517578","62.18000030517578","62.16999816894531","62.16999816894531","62.16999816894531","","","","","",""
"1148","","","","","","","","","","","","","","","","","","","63.33000183105469","63.33000183105469","63.33000183105469","64.30999755859375","64.30999755859375","64.30999755859375"
"1314","61.744998931884766","61.619998931884766","61.869998931884766","63.45000076293945","63.36000061035156","63.540000915527344","","","","","","","","","","","","","","","","","",""
"1315","63.90999984741211","63.90999984741211","63.90999984741211","","","","","","","","","","","","","","","","","","","","",""
"1349","","","","","","","59.779998779296875","59.779998779296875","59.779998779296875","61.58000183105469","61.58000183105469","61.58000183105469","63.130001068115234","63.130001068115234","63.130001068115234","61.560001373291016","61.560001373291016","61.560001373291016","","","","","",""
"1350","","","","","","","","","","","","","","","","","","","63.119998931884766","63.119998931884766","63.119998931884766","63.66999816894531","63.66999816894531","63.66999816894531"
"1446","59.67499923706055","58.54999923706055","60.79999923706055","61.625","60.34000015258789","62.90999984741211","","","","","","","","","","","","","","","","","",""
"1447","63.77000045776367","63.77000045776367","63.77000045776367","","","","","","","","","","","","","","","","","","","","",""
"1486","","","","","","","62.47999954223633","62.47999954223633","62.47999954223633","62.099998474121094","62.099998474121094","62.099998474121094","59.04999923706055","59.04999923706055","59.04999923706055","58.9900016784668","58.9900016784668","58.9900016784668","","","","","",""
"1487","","","","","","","","","","","","","","","","","","","61.66999816894531","61.66999816894531","61.66999816894531","63.5099983215332","63.5099983215332","63.5099983215332"
"1643","59.17999839782715","56.91999816894531","61.439998626708984","60.364999771118164","59.04999923706055","61.68000030517578","","","","","","","","","","","","","","","","","",""
"1644","60.4900016784668","60.4900016784668","60.4900016784668","","","","","","","","","","","","","","","","","","","","",""
"1688","","","","","","","62.04999923706055","62.04999923706055","62.04999923706055","60.20000076293945","60.20000076293945","60.20000076293945","57.18000030517578","57.18000030517578","57.18000030517578","57.470001220703125","57.470001220703125","57.470001220703125","","","","","",""
"1689","","","","","","","","","","","","","","","","","","","61.84000015258789","61.84000015258789","61.84000015258789","63.08000183105469","63.08000183105469","63.08000183105469"
"1775","57.73000144958496","54.970001220703125","60.4900016784668","59.630001068115234","58.68000030517578","60.58000183105469","","","","","","","","","","","","","","","","","",""
"1776","59.75","59.75","59.75","","","","","","","","","","","","","","","","","","","","",""
"1825","","","","","","","59.38999938964844","59.38999938964844","59.38999938964844","55.7400016784668","55.7400016784668","55.7400016784668","57.150001525878906","57.150001525878906","57.150001525878906","60.540000915527344","60.540000915527344","60.540000915527344","","","","","",""
"1826","","","","","","","","","","","","","","","","","","","62.16999816894531","62.16999816894531","62.16999816894531","62.720001220703125","62.720001220703125","62.720001220703125"
"1972","57.70000076293945","55.09000015258789","60.310001373291016","59.95000076293945","59.20000076293945","60.70000076293945","","","","","","","","","","","","","","","","","",""
"1973","59.630001068115234","59.630001068115234","59.630001068115234","","","","","","","","","","","","","","","","","","","","",""
"2027","","","","","","","57.380001068115234","57.380001068115234","57.380001068115234","55.04999923706055","55.04999923706055","55.04999923706055","56.2599983215332","56.2599983215332","56.2599983215332","57.20000076293945","57.20000076293945","57.20000076293945","","","","","",""
"2028","","","","","","","","","","","","","","","","","","","60.52000045776367","60.52000045776367","60.52000045776367","58.40999984741211","58.40999984741211","58.40999984741211"
"2104","58.43000030517578","56.060001373291016","60.79999923706055","59.095001220703125","58.470001220703125","59.720001220703125","","","","","","","","","","","","","","","","","",""
"2105","58.97999954223633","58.97999954223633","58.97999954223633","","","","","","","","","","","","","","","","","","","","",""
"2164","","","","","","","56.68000030517578","56.68000030517578","56.68000030517578","56.400001525878906","56.400001525878906","56.400001525878906","58.15999984741211","58.15999984741211","58.15999984741211","58.849998474121094","58.849998474121094","58.849998474121094","","","","","",""
"2165","","","","","","","","","","","","","","","","","","","60.13999938964844","60.13999938964844","60.13999938964844","60.459999084472656","60.459999084472656","60.459999084472656"
"2301","58.10500144958496","55.33000183105469","60.880001068115234","59","58.68000030517578","59.31999969482422","","","","","","","","","","","","","","","","","",""
"2302","58.72999954223633","58.72999954223633","58.72999954223633","","","","","","","","","","","","","","","","","","","","",""
"2366","","","","","","","60.41999816894531","60.41999816894531","60.41999816894531","55.7400016784668","55.7400016784668","55.7400016784668","56.380001068115234","56.380001068115234","56.380001068115234","56.599998474121094","56.599998474121094","56.599998474121094","","","","","",""
"2367","","","","","","","","","","","","","","","","","","","59.779998779296875","59.779998779296875","59.779998779296875","59.84000015258789","59.84000015258789","59.84000015258789"
"2433","58.385000228881836","55.209999084472656","61.560001373291016","59.079999923706055","58.5","59.65999984741211","","","","","","","","","","","","","","","","","",""
"2434","60.61000061035156","60.61000061035156","60.61000061035156","","","","","","","","","","","","","","","","","","","","",""
"2503","","","","","","","57.75","57.75","57.75","56.0099983215332","56.0099983215332","56.0099983215332","59.5","59.5","59.5","56.099998474121094","56.099998474121094","56.099998474121094","","","","","",""
"2504","","","","","","","","","","","","","","","","","","","62.06999969482422","62.06999969482422","62.06999969482422","61.06999969482422","61.06999969482422","61.06999969482422"
"2630","59.02000045776367","55.77000045776367","62.27000045776367","59.14999961853027","58.130001068115234","60.16999816894531","","","","","","","","","","","","","","","","","",""
"2631","60.04999923706055","60.04999923706055","60.04999923706055","","","","","","","","","","","","","","","","","","","","",""
"2705","","","","","","","59.869998931884766","59.869998931884766","59.869998931884766","56.400001525878906","56.400001525878906","56.400001525878906","59.779998779296875","59.779998779296875","59.779998779296875","56.06999969482422","56.06999969482422","56.06999969482422","","","","","",""
"2706","","","","","","","","","","","","","","","","","","","61.810001373291016","61.810001373291016","61.810001373291016","62.5099983215332","62.5099983215332","62.5099983215332"
"2762","59.77000045776367","55.97999954223633","63.560001373291016","58.53999900817871","58.0099983215332","59.06999969482422","","","","","","","","","","","","","","","","","",""
"2763","59.779998779296875","59.779998779296875","59.779998779296875","","","","","","","","","","","","","","","","","","","","",""
"2842","","","","","","","61.119998931884766","61.119998931884766","61.119998931884766","55.83000183105469","55.83000183105469","55.83000183105469","58.040000915527344","58.040000915527344","58.040000915527344","55.029998779296875","55.029998779296875","55.029998779296875","","","","","",""
"2843","","","","","","","","","","","","","","","","","","","61.52000045776367","61.52000045776367","61.52000045776367","61.060001373291016","61.060001373291016","61.060001373291016"
"2959","59.38999938964844","57.689998626708984","61.09000015258789","58.709999084472656","56.689998626708984","60.72999954223633","","","","","","","","","","","","","","","","","",""
"2960","60.38999938964844","60.38999938964844","60.38999938964844","","","","","","","","","","","","","","","","","","","","",""
"3044","","","","","","","59.68000030517578","59.68000030517578","59.68000030517578","57.75","57.75","57.75","59.310001373291016","59.310001373291016","59.310001373291016","56.619998931884766","56.619998931884766","56.619998931884766","","","","","",""
"3045","","","","","","","","","","","","","","","","","","","60.97999954223633","60.97999954223633","60.97999954223633","59.810001373291016","59.810001373291016","59.810001373291016"
"3091","59.260000228881836","57.36000061035156","61.15999984741211","59.32499885559082","57.439998626708984","61.209999084472656","","","","","","","","","","","","","","","","","",""
"3092","59.869998931884766","59.869998931884766","59.869998931884766","","","","","","","","","","","","","","","","","","","","",""
"3181","","","","","","","60.13999938964844","60.13999938964844","60.13999938964844","54.619998931884766","54.619998931884766","54.619998931884766","58.369998931884766","58.369998931884766","58.369998931884766","57.27000045776367","57.27000045776367","57.27000045776367","","","","","",""
"3182","","","","","","","","","","","","","","","","","","","63.25","63.25","63.25","63.560001373291016","63.560001373291016","63.560001373291016"
"3288","58.03499984741211","56.84000015258789","59.22999954223633","57.83500099182129","57.540000915527344","58.130001068115234","","","","","","","","","","","","","","","","","",""
"3289","62.41999816894531","62.41999816894531","62.41999816894531","","","","","","","","","","","","","","","","","","","","",""
"3383","","","","","","","58.5","58.5","58.5","55.4900016784668","55.4900016784668","55.4900016784668","60.65999984741211","60.65999984741211","60.65999984741211","54.779998779296875","54.779998779296875","54.779998779296875","","","","","",""
"3384","","","","","","","","","","","","","","","","","","","62.560001373291016","62.560001373291016","62.560001373291016","62.900001525878906","62.900001525878906","62.900001525878906"
"3420","59.01500129699707","56.720001220703125","61.310001373291016","58.095001220703125","57.540000915527344","58.650001525878906","","","","","","","","","","","","","","","","","",""
"3421","63.130001068115234","63.130001068115234","63.130001068115234","","","","","","","","","","","","","","","","","","","","",""
"3520","","","","","","","60.310001373291016","60.310001373291016","60.310001373291016","57.720001220703125","57.720001220703125","57.720001220703125","56.630001068115234","56.630001068115234","56.630001068115234","54.130001068115234","54.130001068115234","54.130001068115234","","","","","",""
