"Step","Group: text10-vision0 - evaluation/blimp/irregular_forms","Group: text10-vision0 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision0 - evaluation/blimp/irregular_forms__MAX","Group: text1-vision0 - evaluation/blimp/irregular_forms","Group: text1-vision0 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision0 - evaluation/blimp/irregular_forms__MAX","Group: text1-vision100 - evaluation/blimp/irregular_forms","Group: text1-vision100 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision100 - evaluation/blimp/irregular_forms__MAX","Group: text1-vision10 - evaluation/blimp/irregular_forms","Group: text1-vision10 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision10 - evaluation/blimp/irregular_forms__MAX","Group: text1-vision1 - evaluation/blimp/irregular_forms","Group: text1-vision1 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision1 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision1 - evaluation/blimp/irregular_forms","Group: text10-vision1 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision1 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision10 - evaluation/blimp/irregular_forms","Group: text10-vision10 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision10 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision100 - evaluation/blimp/irregular_forms","Group: text10-vision100 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision100 - evaluation/blimp/irregular_forms__MAX"
"130","58.72999954223633","48.349998474121094","69.11000061035156","56.28499984741211","51.70000076293945","60.869998931884766","50.7400016784668","50.7400016784668","50.7400016784668","48.2400016784668","48.2400016784668","48.2400016784668","65.23999786376953","65.23999786376953","65.23999786376953","65.80000305175781","65.80000305175781","65.80000305175781","","","","","",""
"131","51.86000061035156","51.86000061035156","51.86000061035156","","","","","","","","","","","","","","","","50.84000015258789","50.84000015258789","50.84000015258789","51.810001373291016","51.810001373291016","51.810001373291016"
"327","55.39499855041504","45.45000076293945","65.33999633789062","56.795000076293945","54.400001525878906","59.189998626708984","","","","","","","","","","","","","","","","","",""
"328","59.900001525878906","59.900001525878906","59.900001525878906","","","","","","","","","","","","","","","","","","","","",""
"332","","","","","","","57.20000076293945","57.20000076293945","57.20000076293945","54.810001373291016","54.810001373291016","54.810001373291016","59.75","59.75","59.75","68.55000305175781","68.55000305175781","68.55000305175781","","","","","",""
"333","","","","","","","","","","","","","","","","","","","58.52000045776367","58.52000045776367","58.52000045776367","55.52000045776367","55.52000045776367","55.52000045776367"
"459","56.029998779296875","55.619998931884766","56.439998626708984","60.78499984741211","59.029998779296875","62.540000915527344","","","","","","","","","","","","","","","","","",""
"460","57.29999923706055","57.29999923706055","57.29999923706055","","","","","","","","","","","","","","","","","","","","",""
"469","","","","","","","53.4900016784668","53.4900016784668","53.4900016784668","55.97999954223633","55.97999954223633","55.97999954223633","62.849998474121094","62.849998474121094","62.849998474121094","61.58000183105469","61.58000183105469","61.58000183105469","","","","","",""
"470","","","","","","","","","","","","","","","","","","","59.290000915527344","59.290000915527344","59.290000915527344","58.41999816894531","58.41999816894531","58.41999816894531"
"656","52.744998931884766","49.2599983215332","56.22999954223633","57.33000183105469","56.08000183105469","58.58000183105469","","","","","","","","","","","","","","","","","",""
"657","58.02000045776367","58.02000045776367","58.02000045776367","","","","","","","","","","","","","","","","","","","","",""
"671","","","","","","","52.41999816894531","52.41999816894531","52.41999816894531","52.2599983215332","52.2599983215332","52.2599983215332","58.97999954223633","58.97999954223633","58.97999954223633","61.68000030517578","61.68000030517578","61.68000030517578","","","","","",""
"672","","","","","","","","","","","","","","","","","","","60.04999923706055","60.04999923706055","60.04999923706055","59.63999938964844","59.63999938964844","59.63999938964844"
"788","54.959999084472656","51.5","58.41999816894531","59.79499816894531","58.41999816894531","61.16999816894531","","","","","","","","","","","","","","","","","",""
"789","57.349998474121094","57.349998474121094","57.349998474121094","","","","","","","","","","","","","","","","","","","","",""
"808","","","","","","","53.7400016784668","53.7400016784668","53.7400016784668","50.7400016784668","50.7400016784668","50.7400016784668","53.59000015258789","53.59000015258789","53.59000015258789","63.04999923706055","63.04999923706055","63.04999923706055","","","","","",""
