"trainer/global_step","Group: text10-vision0 - _step","Group: text10-vision0 - _step__MIN","Group: text10-vision0 - _step__MAX","Group: text10-vision0 - evaluation/blimp_average","Group: text10-vision0 - evaluation/blimp_average__MIN","Group: text10-vision0 - evaluation/blimp_average__MAX","Group: text10-vision1 - _step","Group: text10-vision1 - _step__MIN","Group: text10-vision1 - _step__MAX","Group: text10-vision1 - evaluation/blimp_average","Group: text10-vision1 - evaluation/blimp_average__MIN","Group: text10-vision1 - evaluation/blimp_average__MAX","Group: text10-vision100 - _step","Group: text10-vision100 - _step__MIN","Group: text10-vision100 - _step__MAX","Group: text10-vision100 - evaluation/blimp_average","Group: text10-vision100 - evaluation/blimp_average__MIN","Group: text10-vision100 - evaluation/blimp_average__MAX","Group: text10-vision10 - _step","Group: text10-vision10 - _step__MIN","Group: text10-vision10 - _step__MAX","Group: text10-vision10 - evaluation/blimp_average","Group: text10-vision10 - evaluation/blimp_average__MIN","Group: text10-vision10 - evaluation/blimp_average__MAX"
"2874","3749.5","3749","3750","65.52541732788086","64.84249877929688","66.20833587646484","3859","3859","3859","66.55333709716797","66.55333709716797","66.55333709716797","3860","3860","3860","63.690834045410156","63.690834045410156","63.690834045410156","3860","3860","3860","64.45500183105469","64.45500183105469","64.45500183105469"
"2999","3946.5","3946","3947","66.47208404541016","65.7058334350586","67.23833465576172","4061","4061","4061","66.27249908447266","66.27249908447266","66.27249908447266","4062","4062","4062","62.936668395996094","62.936668395996094","62.936668395996094","4062","4062","4062","64.40499877929688","64.40499877929688","64.40499877929688"
"3124","4078.5","4078","4079","66.62041854858398","66.09833526611328","67.14250183105469","4198","4198","4198","66.9000015258789","66.9000015258789","66.9000015258789","4199","4199","4199","64.55999755859375","64.55999755859375","64.55999755859375","4199","4199","4199","65.25916290283203","65.25916290283203","65.25916290283203"
"3249","4275.5","4275","4276","66.83250045776367","66.63583374023438","67.02916717529297","4400","4400","4400","66.49166870117188","66.49166870117188","66.49166870117188","4401","4401","4401","64.15333557128906","64.15333557128906","64.15333557128906","4401","4401","4401","65.0824966430664","65.0824966430664","65.0824966430664"
"3374","4407.5","4407","4408","67.02791595458984","66.96499633789062","67.09083557128906","4537","4537","4537","66.99083709716797","66.99083709716797","66.99083709716797","4538","4538","4538","63.934165954589844","63.934165954589844","63.934165954589844","4538","4538","4538","65.8941650390625","65.8941650390625","65.8941650390625"
"3499","4604.5","4604","4605","67.1441650390625","66.3758316040039","67.9124984741211","4739","4739","4739","67.56999969482422","67.56999969482422","67.56999969482422","4740","4740","4740","64.28333282470703","64.28333282470703","64.28333282470703","4740","4740","4740","66.43250274658203","66.43250274658203","66.43250274658203"
"3624","4736.5","4736","4737","67.35458374023438","66.73416900634766","67.9749984741211","4876","4876","4876","68.27666473388672","68.27666473388672","68.27666473388672","4877","4877","4877","65.40333557128906","65.40333557128906","65.40333557128906","4877","4877","4877","66.35166931152344","66.35166931152344","66.35166931152344"
"3749","4933.5","4933","4934","67.82416915893555","67.55750274658203","68.09083557128906","5078","5078","5078","67.5808334350586","67.5808334350586","67.5808334350586","5079","5079","5079","64.93333435058594","64.93333435058594","64.93333435058594","5079","5079","5079","66.55999755859375","66.55999755859375","66.55999755859375"
"3874","5065.5","5065","5066","67.7591667175293","67.6241683959961","67.8941650390625","5215","5215","5215","67.85416412353516","67.85416412353516","67.85416412353516","5216","5216","5216","65.1624984741211","65.1624984741211","65.1624984741211","5216","5216","5216","66.26166534423828","66.26166534423828","66.26166534423828"
"3999","5262.5","5262","5263","68.06166458129883","68.04833221435547","68.07499694824219","5417","5417","5417","67.9574966430664","67.9574966430664","67.9574966430664","5418","5418","5418","66.47250366210938","66.47250366210938","66.47250366210938","5418","5418","5418","66.41583251953125","66.41583251953125","66.41583251953125"
