"trainer/global_step","Group: text10-vision0 - _step","Group: text10-vision0 - _step__MIN","Group: text10-vision0 - _step__MAX","Group: text10-vision0 - evaluation/pseudo_perplexity","Group: text10-vision0 - evaluation/pseudo_perplexity__MIN","Group: text10-vision0 - evaluation/pseudo_perplexity__MAX","Group: text10-vision1 - _step","Group: text10-vision1 - _step__MIN","Group: text10-vision1 - _step__MAX","Group: text10-vision1 - evaluation/pseudo_perplexity","Group: text10-vision1 - evaluation/pseudo_perplexity__MIN","Group: text10-vision1 - evaluation/pseudo_perplexity__MAX","Group: text10-vision100 - _step","Group: text10-vision100 - _step__MIN","Group: text10-vision100 - _step__MAX","Group: text10-vision100 - evaluation/pseudo_perplexity","Group: text10-vision100 - evaluation/pseudo_perplexity__MIN","Group: text10-vision100 - evaluation/pseudo_perplexity__MAX","Group: text10-vision10 - _step","Group: text10-vision10 - _step__MIN","Group: text10-vision10 - _step__MAX","Group: text10-vision10 - evaluation/pseudo_perplexity","Group: text10-vision10 - evaluation/pseudo_perplexity__MIN","Group: text10-vision10 - evaluation/pseudo_perplexity__MAX"
"1374","1775.5","1775","1776","137.87747192382812","132.9127197265625","142.84222412109375","1825","1825","1825","96.4478988647461","96.4478988647461","96.4478988647461","1826","1826","1826","193.2809600830078","193.2809600830078","193.2809600830078","1826","1826","1826","262.33453369140625","262.33453369140625","262.33453369140625"
"1499","1972.5","1972","1973","103.41740417480469","99.27322387695312","107.56158447265625","2027","2027","2027","73.20724487304688","73.20724487304688","73.20724487304688","2028","2028","2028","145.56414794921875","145.56414794921875","145.56414794921875","2028","2028","2028","165.90411376953125","165.90411376953125","165.90411376953125"
"1624","2104.5","2104","2105","79.90875625610352","77.60028076171875","82.21723175048828","2164","2164","2164","56.700294494628906","56.700294494628906","56.700294494628906","2165","2165","2165","118.66712188720703","118.66712188720703","118.66712188720703","2165","2165","2165","123.64207458496094","123.64207458496094","123.64207458496094"
"1749","2301.5","2301","2302","62.542030334472656","59.93287658691406","65.15118408203125","2366","2366","2366","46.049896240234375","46.049896240234375","46.049896240234375","2367","2367","2367","100.22297668457031","100.22297668457031","100.22297668457031","2367","2367","2367","99.74984741210938","99.74984741210938","99.74984741210938"
"1874","2433.5","2433","2434","49.08657455444336","47.69745635986328","50.47569274902344","2503","2503","2503","38.860557556152344","38.860557556152344","38.860557556152344","2504","2504","2504","85.67127990722656","85.67127990722656","85.67127990722656","2504","2504","2504","83.3263168334961","83.3263168334961","83.3263168334961"
"1999","2630.5","2630","2631","40.758737564086914","40.03364562988281","41.483829498291016","2705","2705","2705","33.6287956237793","33.6287956237793","33.6287956237793","2706","2706","2706","74.7263412475586","74.7263412475586","74.7263412475586","2706","2706","2706","71.21037292480469","71.21037292480469","71.21037292480469"
"2124","2762.5","2762","2763","34.9968204498291","34.46056365966797","35.533077239990234","2842","2842","2842","30.174198150634766","30.174198150634766","30.174198150634766","2843","2843","2843","66.16856384277344","66.16856384277344","66.16856384277344","2843","2843","2843","61.28166961669922","61.28166961669922","61.28166961669922"
"2249","2959.5","2959","2960","30.54114532470703","30.211355209350586","30.870935440063477","3044","3044","3044","27.3424072265625","27.3424072265625","27.3424072265625","3045","3045","3045","58.148162841796875","58.148162841796875","58.148162841796875","3045","3045","3045","52.776512145996094","52.776512145996094","52.776512145996094"
"2374","3091.5","3091","3092","27.273021697998047","27.02459716796875","27.521446228027344","3181","3181","3181","25.065387725830078","25.065387725830078","25.065387725830078","3182","3182","3182","51.38386535644531","51.38386535644531","51.38386535644531","3182","3182","3182","45.21860122680664","45.21860122680664","45.21860122680664"
"2499","3288.5","3288","3289","24.571182250976562","24.554779052734375","24.58758544921875","3383","3383","3383","23.392704010009766","23.392704010009766","23.392704010009766","3384","3384","3384","45.639617919921875","45.639617919921875","45.639617919921875","3384","3384","3384","39.90833282470703","39.90833282470703","39.90833282470703"
