"Step","Group: text1-vision100 - evaluation/imagenet_zeroshot/top5","Group: text1-vision100 - evaluation/imagenet_zeroshot/top5__MIN","Group: text1-vision100 - evaluation/imagenet_zeroshot/top5__MAX","Group: text1-vision1 - evaluation/imagenet_zeroshot/top5","Group: text1-vision1 - evaluation/imagenet_zeroshot/top5__MIN","Group: text1-vision1 - evaluation/imagenet_zeroshot/top5__MAX","Group: text10-vision100 - evaluation/imagenet_zeroshot/top5","Group: text10-vision100 - evaluation/imagenet_zeroshot/top5__MIN","Group: text10-vision100 - evaluation/imagenet_zeroshot/top5__MAX","Group: text100-vision10 - evaluation/imagenet_zeroshot/top5","Group: text100-vision10 - evaluation/imagenet_zeroshot/top5__MIN","Group: text100-vision10 - evaluation/imagenet_zeroshot/top5__MAX","Group: text10-vision10 - evaluation/imagenet_zeroshot/top5","Group: text10-vision10 - evaluation/imagenet_zeroshot/top5__MIN","Group: text10-vision10 - evaluation/imagenet_zeroshot/top5__MAX","Group: text100-vision1 - evaluation/imagenet_zeroshot/top5","Group: text100-vision1 - evaluation/imagenet_zeroshot/top5__MIN","Group: text100-vision1 - evaluation/imagenet_zeroshot/top5__MAX","Group: text1-vision10 - evaluation/imagenet_zeroshot/top5","Group: text1-vision10 - evaluation/imagenet_zeroshot/top5__MIN","Group: text1-vision10 - evaluation/imagenet_zeroshot/top5__MAX","Group: text10-vision1 - evaluation/imagenet_zeroshot/top5","Group: text10-vision1 - evaluation/imagenet_zeroshot/top5__MIN","Group: text10-vision1 - evaluation/imagenet_zeroshot/top5__MAX","Group: text100-vision100 - evaluation/imagenet_zeroshot/top5","Group: text100-vision100 - evaluation/imagenet_zeroshot/top5__MIN","Group: text100-vision100 - evaluation/imagenet_zeroshot/top5__MAX"
"87","","","","","","","","","","","","","","","","0.005200832150876522","0.005200832150876522","0.005200832150876522","","","","0.0051208194345235825","0.0051208194345235825","0.0051208194345235825","","",""
"145","0.005061113275587559","0.005061113275587559","0.005061113275587559","","","","","","","0.004981095902621746","0.004981095902621746","0.004981095902621746","","","","","","","0.005181139800697565","0.005181139800697565","0.005181139800697565","","","","0.005341175012290478","0.005341175012290478","0.005341175012290478"
"266","","","","","","","","","","","","","","","","0.0057009123265743256","0.0057009123265743256","0.0057009123265743256","","","","0.005560889840126038","0.005560889840126038","0.005560889840126038","","",""
"332","0.004180919844657183","0.004180919844657183","0.004180919844657183","","","","","","","0.005021104589104652","0.005021104589104652","0.005021104589104652","","","","","","","0.005221148487180471","0.005221148487180471","0.005221148487180471","","","","0.005341175012290478","0.005341175012290478","0.005341175012290478"
"445","","","","","","","","","","","","","","","","0.00538086099550128","0.00538086099550128","0.00538086099550128","","","","0.0051208194345235825","0.0051208194345235825","0.0051208194345235825","","",""
"483","0.0061813597567379475","0.0061813597567379475","0.0061813597567379475","","","","","","","0.005041108932346106","0.005041108932346106","0.005041108932346106","","","","","","","0.0044409772381186485","0.0044409772381186485","0.0044409772381186485","","","","0.006141351070255041","0.006141351070255041","0.006141351070255041"
"624","","","","","","","","","","","","","","","","0.004580732900649309","0.004580732900649309","0.004580732900649309","","","","0.00442070746794343","0.00442070746794343","0.00442070746794343","","",""
"670","0.006961531471461058","0.006961531471461058","0.006961531471461058","","","","","","","0.005801276303827763","0.005801276303827763","0.005801276303827763","","","","","","","0.004300946369767189","0.004300946369767189","0.004300946369767189","","","","0.005821280647069216","0.005821280647069216","0.005821280647069216"
"803","","","","","","","","","","","","","","","","0.0049807969480752945","0.0049807969480752945","0.0049807969480752945","","","","0.004480716772377491","0.004480716772377491","0.004480716772377491","","",""
"821","0.005961311515420675","0.005961311515420675","0.005961311515420675","","","","","","","0.005341175012290478","0.005341175012290478","0.005341175012290478","","","","","","","0.00402088463306427","0.00402088463306427","0.00402088463306427","","","","0.005161135457456112","0.005161135457456112","0.005161135457456112"
"982","","","","","","","","","","","","","","","","0.0037806048057973385","0.0037806048057973385","0.0037806048057973385","","","","0.004760761745274067","0.004760761745274067","0.004760761745274067","","",""
"1008","0.004821060691028833","0.004821060691028833","0.004821060691028833","","","","","","","0.0038608494214713573","0.0038608494214713573","0.0038608494214713573","","","","","","","0.004460981581360102","0.004460981581360102","0.004460981581360102","","","","0.006221368908882141","0.006221368908882141","0.006221368908882141"
"1078","","","","0.013962234370410442","0.013962234370410442","0.013962234370410442","","","","","","","","","","","","","","","","","","","","",""
"1161","","","","","","","","","","","","","","","","0.005140822380781174","0.005140822380781174","0.005140822380781174","","","","0.004600736312568188","0.004600736312568188","0.004600736312568188","","",""
"1195","0.005381183698773384","0.005381183698773384","0.005381183698773384","","","","","","","0.003920862451195717","0.003920862451195717","0.003920862451195717","","","","","","","0.004961091559380293","0.004961091559380293","0.004961091559380293","","","","0.005041108932346106","0.005041108932346106","0.005041108932346106"
"1197","","","","0.01662265881896019","0.01662265881896019","0.01662265881896019","","","","","","","","","","","","","","","","","","","","",""
"1340","","","","","","","","","","","","","","","","0.007041126489639282","0.007041126489639282","0.007041126489639282","","","","0.0045007201842963696","0.0045007201842963696","0.0045007201842963696","","",""
"1346","0.005321170669049025","0.005321170669049025","0.005321170669049025","","","","","","","0.004040888976305723","0.004040888976305723","0.004040888976305723","","","","","","","0.004621016792953014","0.004621016792953014","0.004621016792953014","","","","0.006381404120475054","0.006381404120475054","0.006381404120475054"
"1376","","","","0.017262762412428856","0.017262762412428856","0.017262762412428856","","","","","","","","","","","","","","","","","","","","",""
"1433","","","","","","","","","","","","","","","","0.008241318166255951","0.008241318166255951","0.008241318166255951","","","","0.004880780819803476","0.004880780819803476","0.004880780819803476","","",""
"1533","0.005401188042014837","0.005401188042014837","0.005401188042014837","","","","","","","0.003080677706748247","0.003080677706748247","0.003080677706748247","","","","","","","0.004881073720753193","0.004881073720753193","0.004881073720753193","","","","0.00550121022388339","0.00550121022388339","0.00550121022388339"
"1555","","","","0.016722675412893295","0.016722675412893295","0.016722675412893295","","","","","","","","","","","","","","","","","","","","",""
"1612","","","","","","","","","","","","","","","","0.008441350422799587","0.008441350422799587","0.008441350422799587","","","","0.004440710414201021","0.004440710414201021","0.004440710414201021","","",""
"1684","0.005421192850917578","0.005421192850917578","0.005421192850917578","","","","","","","0.0037008142098784447","0.0037008142098784447","0.0037008142098784447","","","","","","","0.004901078063994646","0.004901078063994646","0.004901078063994646","","","","0.005481205880641937","0.005481205880641937","0.005481205880641937"
"1734","","","","0.01890302449464798","0.01890302449464798","0.01890302449464798","","","","","","","","","","","","","","","","","","","","",""
"1791","","","","","","","","","","","","","","","","0.008661385625600815","0.008661385625600815","0.008661385625600815","","","","0.004620739258825779","0.004620739258825779","0.004620739258825779","","",""
"1871","0.005401188042014837","0.005401188042014837","0.005401188042014837","","","","","","","0.00394086679443717","0.00394086679443717","0.00394086679443717","","","","","","","0.005341175012290478","0.005341175012290478","0.005341175012290478","","","","0.005721258465200663","0.005721258465200663","0.005721258465200663"
"1913","","","","0.018162906169891357","0.018162906169891357","0.018162906169891357","","","","","","","","","","","","","","","","","","","","",""
"1970","","","","","","","","","","","","","","","","0.009921587072312832","0.009921587072312832","0.009921587072312832","","","","0.004160665906965733","0.004160665906965733","0.004160665906965733","","",""
"2022","0.006081338040530682","0.006081338040530682","0.006081338040530682","","","","","","","0.003020664444193244","0.003020664444193244","0.003020664444193244","","","","","","","0.00494108721613884","0.00494108721613884","0.00494108721613884","","","","0.005341175012290478","0.005341175012290478","0.005341175012290478"
"2092","","","","0.01718274876475334","0.01718274876475334","0.01718274876475334","","","","","","","","","","","","","","","","","","","","",""
"2149","","","","","","","","","","","","","","","","0.00964154303073883","0.00964154303073883","0.00964154303073883","","","","0.0036005761940032244","0.0036005761940032244","0.0036005761940032244","","",""
"2209","0.004681029822677374","0.004681029822677374","0.004681029822677374","","","","","","","0.004000880289822817","0.004000880289822817","0.004000880289822817","","","","","","","0.004621016792953014","0.004621016792953014","0.004621016792953014","","","","0.004961091559380293","0.004961091559380293","0.004961091559380293"
"2271","","","","0.017022723332047462","0.017022723332047462","0.017022723332047462","","","","","","","","","","","","","","","","","","","","",""
"2328","","","","","","","","","","","","","","","","0.01052168384194374","0.01052168384194374","0.01052168384194374","","","","0.0034005441702902317","0.0034005441702902317","0.0034005441702902317","","",""
"2396","0.00550121022388339","0.00550121022388339","0.00550121022388339","","","","","","","0.004981095902621746","0.004981095902621746","0.004981095902621746","","","","","","","0.00486106937751174","0.00486106937751174","0.00486106937751174","","","","","",""
"2450","","","","0.016702672466635704","0.016702672466635704","0.016702672466635704","","","","","","","","","","","","","","","","","","","","",""
"2507","","","","","","","","","","","","","","","","0.010821731761097908","0.010821731761097908","0.010821731761097908","","","","0.003500560065731406","0.003500560065731406","0.003500560065731406","","",""
"2543","","","","0.01716274581849575","0.01716274581849575","0.01716274581849575","","","","","","","","","","","","","","","","","","","","",""
"2547","0.005041108932346106","0.005041108932346106","0.005041108932346106","","","","","","","0.004500990267843008","0.004500990267843008","0.004500990267843008","","","","","","","0.004921082407236099","0.004921082407236099","0.004921082407236099","","","","","",""
"2614","","","","","","","","","","","","","0.043306928128004074","0.043306928128004074","0.043306928128004074","","","","","","","","","","","",""
"2686","","","","","","","","","","","","","","","","0.012301968410611153","0.012301968410611153","0.012301968410611153","","","","0.004220675211399794","0.004220675211399794","0.004220675211399794","","",""
"2700","","","","","","","0.0038606177549809217","0.0038606177549809217","0.0038606177549809217","","","","","","","","","","","","","","","","","",""
"2722","","","","0.019203072413802147","0.019203072413802147","0.019203072413802147","","","","","","","","","","","","","","","","","","","","",""
"2734","0.005541218910366297","0.005541218910366297","0.005541218910366297","","","","","","","0.004781052004545927","0.004781052004545927","0.004781052004545927","","","","","","","0.0048410650342702866","0.0048410650342702866","0.0048410650342702866","","","","","",""
"2793","","","","","","","","","","","","","0.04248679801821709","0.04248679801821709","0.04248679801821709","","","","","","","","","","","",""
"2865","","","","","","","","","","","","","","","","0.012081933207809925","0.012081933207809925","0.012081933207809925","","","","0.003640582552179694","0.003640582552179694","0.003640582552179694","","",""
"2879","","","","","","","0.0039006241131573915","0.0039006241131573915","0.0039006241131573915","","","","","","","","","","","","","","","","","",""
"2885","0.005101122427731752","0.005101122427731752","0.005101122427731752","","","","","","","0.004621016792953014","0.004621016792953014","0.004621016792953014","","","","","","","0.004781052004545927","0.004781052004545927","0.004781052004545927","","","","","",""
"2901","","","","0.017922867089509964","0.017922867089509964","0.017922867089509964","","","","","","","","","","","","","","","","","","","","",""
"2958","","","","","","","","","","","","","","","","0.01060169655829668","0.01060169655829668","0.01060169655829668","","","","0.004040646366775036","0.004040646366775036","0.004040646366775036","","",""
"2972","","","","","","","","","","","","","0.048047687858343124","0.048047687858343124","0.048047687858343124","","","","","","","","","","","",""
"3058","","","","","","","0.0041206590831279755","0.0041206590831279755","0.0041206590831279755","","","","","","","","","","","","","","","","","",""
"3072","0.00480105634778738","0.00480105634778738","0.00480105634778738","","","","","","","0.004460981581360102","0.004460981581360102","0.004460981581360102","","","","","","","0.005821280647069216","0.005821280647069216","0.005821280647069216","","","","","",""
"3080","","","","0.019163066521286964","0.019163066521286964","0.019163066521286964","","","","","","","","","","","","","","","","","","","","",""
"3137","","","","","","","","","","","","","","","","0.012802048586308956","0.012802048586308956","0.012802048586308956","","","","0.004200672265142202","0.004200672265142202","0.004200672265142202","","",""
"3151","","","","","","","","","","","","","0.04476716369390488","0.04476716369390488","0.04476716369390488","","","","","","","","","","","",""
"3223","0.00550121022388339","0.00550121022388339","0.00550121022388339","","","","","","","0.004140911158174276","0.004140911158174276","0.004140911158174276","","","","","","","0.004681029822677374","0.004681029822677374","0.004681029822677374","","","","","",""
"3237","","","","","","","0.0033005280420184135","0.0033005280420184135","0.0033005280420184135","","","","","","","","","","","","","","","","","",""
"3259","","","","0.018803007900714874","0.018803007900714874","0.018803007900714874","","","","","","","","","","","","","","","","","","","","",""
"3316","","","","","","","","","","","","","","","","0.012862058356404305","0.012862058356404305","0.012862058356404305","","","","0.004540726542472839","0.004540726542472839","0.004540726542472839","","",""
"3330","","","","","","","","","","","","","0.044207073748111725","0.044207073748111725","0.044207073748111725","","","","","","","","","","","",""
"3410","0.005081117618829012","0.005081117618829012","0.005081117618829012","","","","","","","0.005061113275587559","0.005061113275587559","0.005061113275587559","","","","","","","0.005121126770973206","0.005121126770973206","0.005121126770973206","","","","","",""
"3416","","","","","","","0.0030204833019524813","0.0030204833019524813","0.0030204833019524813","","","","","","","","","","","","","","","","","",""
"3438","","","","0.01960313692688942","0.01960313692688942","0.01960313692688942","","","","","","","","","","","","","","","","","","","","",""
"3495","","","","","","","","","","","","","","","","0.01270203199237585","0.01270203199237585","0.01270203199237585","","","","0.004200672265142202","0.004200672265142202","0.004200672265142202","","",""
"3509","","","","","","","","","","","","","0.04706753045320511","0.04706753045320511","0.04706753045320511","","","","","","","","","","","",""
"3595","","","","","","","0.004040646366775036","0.004040646366775036","0.004040646366775036","","","","","","","","","","","","","","","","","",""
"3597","0.005601232405751944","0.005601232405751944","0.005601232405751944","","","","","","","0.004581007640808821","0.004581007640808821","0.004581007640808821","","","","","","","0.005081117618829012","0.005081117618829012","0.005081117618829012","","","","","",""
"3617","","","","0.018242917954921722","0.018242917954921722","0.018242917954921722","","","","","","","","","","","","","","","","","","","","",""
"3674","","","","","","","","","","","","","","","","0.01356216985732317","0.01356216985732317","0.01356216985732317","","","","0.004160665906965733","0.004160665906965733","0.004160665906965733","","",""
"3688","","","","","","","","","","","","","0.047347575426101685","0.047347575426101685","0.047347575426101685","","","","","","","","","","","",""
"3748","0.005001100245863199","0.005001100245863199","0.005001100245863199","","","","","","","0.005201144143939018","0.005201144143939018","0.005201144143939018","","","","","","","0.00494108721613884","0.00494108721613884","0.00494108721613884","","","","","",""
"3774","","","","","","","0.004200672265142202","0.004200672265142202","0.004200672265142202","","","","","","","","","","","","","","","","","",""
"3781","","","","","","","","","","","","","0.04310689866542816","0.04310689866542816","0.04310689866542816","","","","","","","","","","","",""
"3796","","","","0.018062889575958252","0.018062889575958252","0.018062889575958252","","","","","","","","","","","","","","","","","","","","",""
"3853","","","","","","","","","","","","","","","","0.011401824653148651","0.011401824653148651","0.011401824653148651","","","","0.004480716772377491","0.004480716772377491","0.004480716772377491","","",""
"3935","0.005941307172179222","0.005941307172179222","0.005941307172179222","","","","","","","0.004581007640808821","0.004581007640808821","0.004581007640808821","","","","","","","0.004480985924601555","0.004480985924601555","0.004480985924601555","","","","","",""
"3949","","","","0.017642822116613388","0.017642822116613388","0.017642822116613388","","","","","","","","","","","","","","","","","","","","",""
"3953","","","","","","","0.004360697697848082","0.004360697697848082","0.004360697697848082","","","","","","","","","","","","","","","","","",""
"3960","","","","","","","","","","","","","0.04310689866542816","0.04310689866542816","0.04310689866542816","","","","","","","","","","","",""
"4032","","","","","","","","","","","","","","","","0.012241958640515804","0.012241958640515804","0.012241958640515804","","","","0.004280684981495142","0.004280684981495142","0.004280684981495142","","",""
"4046","","","","","","","0.004520723130553961","0.004520723130553961","0.004520723130553961","","","","","","","","","","","","","","","","","",""
"4068","","","","0.016502641141414642","0.016502641141414642","0.016502641141414642","","","","","","","","","","","","","","","","","","","","",""
"4086","0.005821280647069216","0.005821280647069216","0.005821280647069216","","","","","","","0.005121126770973206","0.005121126770973206","0.005121126770973206","","","","","","","0.004300946369767189","0.004300946369767189","0.004300946369767189","","","","","",""
"4139","","","","","","","","","","","","","0.04318691045045853","0.04318691045045853","0.04318691045045853","","","","","","","","","","","",""
"4211","","","","","","","","","","","","","","","","0.012562009505927563","0.012562009505927563","0.012562009505927563","","","","0.003680588910356164","0.003680588910356164","0.003680588910356164","","",""
"4225","","","","","","","0.0034005441702902317","0.0034005441702902317","0.0034005441702902317","","","","","","","","","","","","","","","","","",""
"4247","","","","0.017442790791392326","0.017442790791392326","0.017442790791392326","","","","","","","","","","","","","","","","","","","","",""
"4273","0.005781271960586309","0.005781271960586309","0.005781271960586309","","","","","","","0.00472103850916028","0.00472103850916028","0.00472103850916028","","","","","","","0.004500990267843008","0.004500990267843008","0.004500990267843008","","","","","",""
"4304","","","","","","","","","","","","","","","","0.015542486682534218","0.015542486682534218","0.015542486682534218","","","","0.004040646366775036","0.004040646366775036","0.004040646366775036","","",""
"4318","","","","","","","","","","","","","0.04462714120745659","0.04462714120745659","0.04462714120745659","","","","","","","","","","","",""
"4404","","","","","","","0.0034605537075549364","0.0034605537075549364","0.0034605537075549364","","","","","","","","","","","","","","","","","",""
"4424","0.004921082407236099","0.004921082407236099","0.004921082407236099","","","","","","","0.005161135457456112","0.005161135457456112","0.005161135457456112","","","","","","","0.004400968085974455","0.004400968085974455","0.004400968085974455","","","","","",""
"4426","","","","0.019003041088581085","0.019003041088581085","0.019003041088581085","","","","","","","","","","","","","","","","","","","","",""
"4483","","","","","","","","","","","","","","","","0.009541526436805725","0.009541526436805725","0.009541526436805725","","","","0.003380540991201997","0.003380540991201997","0.003380540991201997","","",""
"4497","","","","","","","","","","","","","0.04374700039625168","0.04374700039625168","0.04374700039625168","","","","","","","","","","","",""
"4583","","","","","","","0.003540566423907876","0.003540566423907876","0.003540566423907876","","","","","","","","","","","","","","","","","",""
"4605","","","","0.018062889575958252","0.018062889575958252","0.018062889575958252","","","","","","","","","","","","","","","","","","","","",""
"4611","0.004500990267843008","0.004500990267843008","0.004500990267843008","","","","","","","0.005301166325807571","0.005301166325807571","0.005301166325807571","","","","","","","0.004961091559380293","0.004961091559380293","0.004961091559380293","","","","","",""
"4662","","","","","","","","","","","","","","","","0.015562489628791809","0.015562489628791809","0.015562489628791809","","","","0.003940630704164505","0.003940630704164505","0.003940630704164505","","",""
"4676","","","","","","","","","","","","","0.04148663952946663","0.04148663952946663","0.04148663952946663","","","","","","","","","","","",""
"4762","","","","","","","0.003580572782084346","0.003580572782084346","0.003580572782084346","","","","","","","","","","","","","","","","","",""
"4784","","","","0.017622819170355797","0.017622819170355797","0.017622819170355797","","","","","","","","","","","","","","","","","","","","",""
"4798","0.005141131114214659","0.005141131114214659","0.005141131114214659","","","","","","","0.004821060691028833","0.004821060691028833","0.004821060691028833","","","","","","","0.00564124109223485","0.00564124109223485","0.00564124109223485","","","","","",""
"4841","","","","","","","","","","","","","","","","0.01418226957321167","0.01418226957321167","0.01418226957321167","","","","0.0041206590831279755","0.0041206590831279755","0.0041206590831279755","","",""
"4855","","","","","","","","","","","","","0.041046567261219025","0.041046567261219025","0.041046567261219025","","","","","","","","","","","",""
"4941","","","","","","","0.003220515325665474","0.003220515325665474","0.003220515325665474","","","","","","","","","","","","","","","","","",""
"4949","0.004981095902621746","0.004981095902621746","0.004981095902621746","","","","","","","0.003760827472433448","0.003760827472433448","0.003760827472433448","","","","","","","0.005061113275587559","0.005061113275587559","0.005061113275587559","","","","","",""
"4963","","","","0.017122739925980568","0.017122739925980568","0.017122739925980568","","","","","","","","","","","","","","","","","","","","",""
"5020","","","","","","","","","","","","","","","","0.014422307722270489","0.014422307722270489","0.014422307722270489","","","","0.0044607138261199","0.0044607138261199","0.0044607138261199","","",""
"5034","","","","","","","","","","","","","0.04240678623318672","0.04240678623318672","0.04240678623318672","","","","","","","","","","","",""
"5120","","","","","","","0.0034605537075549364","0.0034605537075549364","0.0034605537075549364","","","","","","","","","","","","","","","","","",""
"5127","","","","","","","","","","","","","0.04032645374536514","0.04032645374536514","0.04032645374536514","","","","","","","","","","","",""
"5136","0.004540998954325914","0.004540998954325914","0.004540998954325914","","","","","","","0.004540998954325914","0.004540998954325914","0.004540998954325914","","","","","","","0.004540998954325914","0.004540998954325914","0.004540998954325914","","","","","",""
"5142","","","","0.016782686114311218","0.016782686114311218","0.016782686114311218","","","","","","","","","","","","","","","","","","","","",""
"5199","","","","","","","","","","","","","","","","0.014802368357777596","0.014802368357777596","0.014802368357777596","","","","0.003940630704164505","0.003940630704164505","0.003940630704164505","","",""
"5287","0.0041609155014157295","0.0041609155014157295","0.0041609155014157295","","","","","","","0.004520994611084461","0.004520994611084461","0.004520994611084461","","","","","","","0.004520994611084461","0.004520994611084461","0.004520994611084461","","","","","",""
"5299","","","","","","","0.0033605375792831182","0.0033605375792831182","0.0033605375792831182","","","","","","","","","","","","","","","","","",""
"5306","","","","","","","","","","","","","0.042106736451387405","0.042106736451387405","0.042106736451387405","","","","","","","","","","","",""
"5321","","","","0.016902703791856766","0.016902703791856766","0.016902703791856766","","","","","","","","","","","","","","","","","","","","",""
"5330","0.014922387897968292","0.014922387897968292","0.014922387897968292","","","","","","","","","","","","","","","","0.007925071753561497","0.007925071753561497","0.007925071753561497","","","","","",""
"5378","","","","","","","","","","","","","","","","0.013342134654521942","0.013342134654521942","0.013342134654521942","","","","0.003980637062340975","0.003980637062340975","0.003980637062340975","","",""
"5414","","","","0.01646263338625431","0.01646263338625431","0.01646263338625431","","","","","","","","","","","","","","","","","","","","",""
"5474","","","","","","","","","","0.00558122806251049","0.00558122806251049","0.00558122806251049","","","","","","","","","","","","","","",""
"5478","","","","","","","0.0029604737646877766","0.0029604737646877766","0.0029604737646877766","","","","","","","","","","","","","","","","","",""
"5485","","","","","","","","","","","","","0.04224675893783569","0.04224675893783569","0.04224675893783569","","","","","","","","","","","",""
"5509","0.021063370630145073","0.021063370630145073","0.021063370630145073","","","","","","","","","","","","","","","","0.023354947566986084","0.023354947566986084","0.023354947566986084","","","","","",""
"5557","","","","","","","","","","","","","","","","0.011941910721361637","0.011941910721361637","0.011941910721361637","","","","0.004580732900649309","0.004580732900649309","0.004580732900649309","","",""
"5571","","","","","","","0.004000640008598566","0.004000640008598566","0.004000640008598566","","","","","","","","","","","","","","","","","",""
