"Step","Group: text1-vision0 - evaluation/blimp/ellipsis","Group: text1-vision0 - evaluation/blimp/ellipsis__MIN","Group: text1-vision0 - evaluation/blimp/ellipsis__MAX","Group: text1-vision100 - evaluation/blimp/ellipsis","Group: text1-vision100 - evaluation/blimp/ellipsis__MIN","Group: text1-vision100 - evaluation/blimp/ellipsis__MAX","Group: text1-vision10 - evaluation/blimp/ellipsis","Group: text1-vision10 - evaluation/blimp/ellipsis__MIN","Group: text1-vision10 - evaluation/blimp/ellipsis__MAX","Group: text1-vision1 - evaluation/blimp/ellipsis","Group: text1-vision1 - evaluation/blimp/ellipsis__MIN","Group: text1-vision1 - evaluation/blimp/ellipsis__MAX","Group: text10-vision1 - evaluation/blimp/ellipsis","Group: text10-vision1 - evaluation/blimp/ellipsis__MIN","Group: text10-vision1 - evaluation/blimp/ellipsis__MAX","Group: text10-vision100 - evaluation/blimp/ellipsis","Group: text10-vision100 - evaluation/blimp/ellipsis__MIN","Group: text10-vision100 - evaluation/blimp/ellipsis__MAX","Group: text10-vision10 - evaluation/blimp/ellipsis","Group: text10-vision10 - evaluation/blimp/ellipsis__MIN","Group: text10-vision10 - evaluation/blimp/ellipsis__MAX","Group: text10-vision0 - evaluation/blimp/ellipsis","Group: text10-vision0 - evaluation/blimp/ellipsis__MIN","Group: text10-vision0 - evaluation/blimp/ellipsis__MAX"
"671","","","","44.630001068115234","44.630001068115234","44.630001068115234","46.25","46.25","46.25","46.650001525878906","46.650001525878906","46.650001525878906","43.06999969482422","43.06999969482422","43.06999969482422","","","","","","","","",""
"672","","","","","","","","","","","","","","","","42.54999923706055","42.54999923706055","42.54999923706055","44","44","44","","",""
"788","45.150001525878906","43.650001525878906","46.650001525878906","","","","","","","","","","","","","","","","","","","","",""
"789","","","","","","","","","","","","","","","","","","","","","","44.34000015258789","44.34000015258789","44.34000015258789"
"808","","","","42.31999969482422","42.31999969482422","42.31999969482422","46.77000045776367","46.77000045776367","46.77000045776367","43.529998779296875","43.529998779296875","43.529998779296875","44.91999816894531","44.91999816894531","44.91999816894531","","","","","","","","",""
"809","","","","","","","","","","","","","","","","41.279998779296875","41.279998779296875","41.279998779296875","43.2400016784668","43.2400016784668","43.2400016784668","","",""
"985","43.939998626708984","42.209999084472656","45.66999816894531","","","","","","","","","","","","","","","","","","","","",""
"986","","","","","","","","","","","","","","","","","","","","","","42.66999816894531","42.66999816894531","42.66999816894531"
"1010","","","","44.52000045776367","44.52000045776367","44.52000045776367","46.41999816894531","46.41999816894531","46.41999816894531","38.79999923706055","38.79999923706055","38.79999923706055","45.209999084472656","45.209999084472656","45.209999084472656","","","","","","","","",""
"1011","","","","","","","","","","","","","","","","42.72999954223633","42.72999954223633","42.72999954223633","43.59000015258789","43.59000015258789","43.59000015258789","","",""
"1117","43.35999870300293","41.16999816894531","45.54999923706055","","","","","","","","","","","","","","","","","","","","",""
"1118","","","","","","","","","","","","","","","","","","","","","","40.81999969482422","40.81999969482422","40.81999969482422"
