"Step","Group: text1-vision0 - evaluation/blimp/quantifiers","Group: text1-vision0 - evaluation/blimp/quantifiers__MIN","Group: text1-vision0 - evaluation/blimp/quantifiers__MAX","Group: text1-vision100 - evaluation/blimp/quantifiers","Group: text1-vision100 - evaluation/blimp/quantifiers__MIN","Group: text1-vision100 - evaluation/blimp/quantifiers__MAX","Group: text1-vision10 - evaluation/blimp/quantifiers","Group: text1-vision10 - evaluation/blimp/quantifiers__MIN","Group: text1-vision10 - evaluation/blimp/quantifiers__MAX","Group: text1-vision1 - evaluation/blimp/quantifiers","Group: text1-vision1 - evaluation/blimp/quantifiers__MIN","Group: text1-vision1 - evaluation/blimp/quantifiers__MAX","Group: text10-vision1 - evaluation/blimp/quantifiers","Group: text10-vision1 - evaluation/blimp/quantifiers__MIN","Group: text10-vision1 - evaluation/blimp/quantifiers__MAX","Group: text10-vision100 - evaluation/blimp/quantifiers","Group: text10-vision100 - evaluation/blimp/quantifiers__MIN","Group: text10-vision100 - evaluation/blimp/quantifiers__MAX","Group: text10-vision10 - evaluation/blimp/quantifiers","Group: text10-vision10 - evaluation/blimp/quantifiers__MIN","Group: text10-vision10 - evaluation/blimp/quantifiers__MAX","Group: text10-vision0 - evaluation/blimp/quantifiers","Group: text10-vision0 - evaluation/blimp/quantifiers__MIN","Group: text10-vision0 - evaluation/blimp/quantifiers__MAX"
"130","44.760000228881836","39.439998626708984","50.08000183105469","55.22999954223633","55.22999954223633","55.22999954223633","56.34000015258789","56.34000015258789","56.34000015258789","32.970001220703125","32.970001220703125","32.970001220703125","46.68000030517578","46.68000030517578","46.68000030517578","","","","","","","","",""
"131","","","","","","","","","","","","","","","","36.72999954223633","36.72999954223633","36.72999954223633","39.15999984741211","39.15999984741211","39.15999984741211","40.97999954223633","40.97999954223633","40.97999954223633"
"327","39.88999938964844","39.04999923706055","40.72999954223633","","","","","","","","","","","","","","","","","","","","",""
"328","","","","","","","","","","","","","","","","","","","","","","40.34000015258789","40.34000015258789","40.34000015258789"
"332","","","","47.810001373291016","47.810001373291016","47.810001373291016","46.2599983215332","46.2599983215332","46.2599983215332","35.189998626708984","35.189998626708984","35.189998626708984","38.04999923706055","38.04999923706055","38.04999923706055","","","","","","","","",""
"333","","","","","","","","","","","","","","","","42.13999938964844","42.13999938964844","42.13999938964844","45.029998779296875","45.029998779296875","45.029998779296875","","",""
"459","37.19499969482422","37.119998931884766","37.27000045776367","","","","","","","","","","","","","","","","","","","","",""
"460","","","","","","","","","","","","","","","","","","","","","","39.029998779296875","39.029998779296875","39.029998779296875"
"469","","","","47.810001373291016","47.810001373291016","47.810001373291016","50.619998931884766","50.619998931884766","50.619998931884766","31.219999313354492","31.219999313354492","31.219999313354492","32.77000045776367","32.77000045776367","32.77000045776367","","","","","","","","",""
"470","","","","","","","","","","","","","","","","47.27000045776367","47.27000045776367","47.27000045776367","41.290000915527344","41.290000915527344","41.290000915527344","","",""
"656","34.415000915527344","32.77000045776367","36.060001373291016","","","","","","","","","","","","","","","","","","","","",""
"657","","","","","","","","","","","","","","","","","","","","","","30.579999923706055","30.579999923706055","30.579999923706055"
"671","","","","33.56999969482422","33.56999969482422","33.56999969482422","40.86000061035156","40.86000061035156","40.86000061035156","28.829999923706055","28.829999923706055","28.829999923706055","32.25","32.25","32.25","","","","","","","","",""
"672","","","","","","","","","","","","","","","","32.720001220703125","32.720001220703125","32.720001220703125","30.729999542236328","30.729999542236328","30.729999542236328","","",""
"788","41.07500076293945","39.34000015258789","42.810001373291016","","","","","","","","","","","","","","","","","","","","",""
"789","","","","","","","","","","","","","","","","","","","","","","41.45000076293945","41.45000076293945","41.45000076293945"
"808","","","","27.790000915527344","27.790000915527344","27.790000915527344","37.869998931884766","37.869998931884766","37.869998931884766","37.63999938964844","37.63999938964844","37.63999938964844","38.5099983215332","38.5099983215332","38.5099983215332","","","","","","","","",""
"809","","","","","","","","","","","","","","","","37.040000915527344","37.040000915527344","37.040000915527344","27.610000610351562","27.610000610351562","27.610000610351562","","",""
"985","43.920000076293945","42.61000061035156","45.22999954223633","","","","","","","","","","","","","","","","","","","","",""
"986","","","","","","","","","","","","","","","","","","","","","","43.06999969482422","43.06999969482422","43.06999969482422"
"1010","","","","33.2599983215332","33.2599983215332","33.2599983215332","36.400001525878906","36.400001525878906","36.400001525878906","37.869998931884766","37.869998931884766","37.869998931884766","37.7599983215332","37.7599983215332","37.7599983215332","","","","","","","","",""
"1011","","","","","","","","","","","","","","","","42.810001373291016","42.810001373291016","42.810001373291016","41.13999938964844","41.13999938964844","41.13999938964844","","",""
"1117","46.05500030517578","44.560001373291016","47.54999923706055","","","","","","","","","","","","","","","","","","","","",""
"1118","","","","","","","","","","","","","","","","","","","","","","47.0099983215332","47.0099983215332","47.0099983215332"
"1147","","","","38.02000045776367","38.02000045776367","38.02000045776367","39.77000045776367","39.77000045776367","39.77000045776367","45.209999084472656","45.209999084472656","45.209999084472656","38.900001525878906","38.900001525878906","38.900001525878906","","","","","","","","",""
"1148","","","","","","","","","","","","","","","","48.220001220703125","48.220001220703125","48.220001220703125","41.9900016784668","41.9900016784668","41.9900016784668","","",""
"1314","48.73500061035156","48.220001220703125","49.25","","","","","","","","","","","","","","","","","","","","",""
"1315","","","","","","","","","","","","","","","","","","","","","","48.47999954223633","48.47999954223633","48.47999954223633"
"1349","","","","44.310001373291016","44.310001373291016","44.310001373291016","42.25","42.25","42.25","53.349998474121094","53.349998474121094","53.349998474121094","50.70000076293945","50.70000076293945","50.70000076293945","","","","","","","","",""
"1350","","","","","","","","","","","","","","","","48.040000915527344","48.040000915527344","48.040000915527344","50.18000030517578","50.18000030517578","50.18000030517578","","",""
"1446","55.71999931335449","52.959999084472656","58.47999954223633","","","","","","","","","","","","","","","","","","","","",""
"1447","","","","","","","","","","","","","","","","","","","","","","51.2400016784668","51.2400016784668","51.2400016784668"
"1486","","","","50.93000030517578","50.93000030517578","50.93000030517578","48.02000045776367","48.02000045776367","48.02000045776367","53.91999816894531","53.91999816894531","53.91999816894531","60.380001068115234","60.380001068115234","60.380001068115234","","","","","","","","",""
"1487","","","","","","","","","","","","","","","","52.83000183105469","52.83000183105469","52.83000183105469","51.209999084472656","51.209999084472656","51.209999084472656","","",""
"1643","58.92499923706055","58.88999938964844","58.959999084472656","","","","","","","","","","","","","","","","","","","","",""
"1644","","","","","","","","","","","","","","","","","","","","","","61.77000045776367","61.77000045776367","61.77000045776367"
"1688","","","","51.93000030517578","51.93000030517578","51.93000030517578","59.33000183105469","59.33000183105469","59.33000183105469","60.43000030517578","60.43000030517578","60.43000030517578","70.58000183105469","70.58000183105469","70.58000183105469","","","","","","","","",""
"1689","","","","","","","","","","","","","","","","61.5099983215332","61.5099983215332","61.5099983215332","57.650001525878906","57.650001525878906","57.650001525878906","","",""
"1775","66.27999877929688","60.43000030517578","72.12999725341797","","","","","","","","","","","","","","","","","","","","",""
"1776","","","","","","","","","","","","","","","","","","","","","","62.439998626708984","62.439998626708984","62.439998626708984"
"1825","","","","55.7400016784668","55.7400016784668","55.7400016784668","57.38999938964844","57.38999938964844","57.38999938964844","61.77000045776367","61.77000045776367","61.77000045776367","68.02999877929688","68.02999877929688","68.02999877929688","","","","","","","","",""
"1826","","","","","","","","","","","","","","","","59.91999816894531","59.91999816894531","59.91999816894531","54.63999938964844","54.63999938964844","54.63999938964844","","",""
"1972","66.38500022888184","63.630001068115234","69.13999938964844","","","","","","","","","","","","","","","","","","","","",""
"1973","","","","","","","","","","","","","","","","","","","","","","69.01000213623047","69.01000213623047","69.01000213623047"
"2027","","","","63.810001373291016","63.810001373291016","63.810001373291016","70.0199966430664","70.0199966430664","70.0199966430664","66.91999816894531","66.91999816894531","66.91999816894531","69.6500015258789","69.6500015258789","69.6500015258789","","","","","","","","",""
"2028","","","","","","","","","","","","","","","","64.25","64.25","64.25","61.95000076293945","61.95000076293945","61.95000076293945","","",""
"2104","67.63000106811523","66.1500015258789","69.11000061035156","","","","","","","","","","","","","","","","","","","","",""
"2105","","","","","","","","","","","","","","","","","","","","","","67.72000122070312","67.72000122070312","67.72000122070312"
"2164","","","","63.90999984741211","63.90999984741211","63.90999984741211","72.36000061035156","72.36000061035156","72.36000061035156","63.68000030517578","63.68000030517578","63.68000030517578","71.87000274658203","71.87000274658203","71.87000274658203","","","","","","","","",""
"2165","","","","","","","","","","","","","","","","64.2699966430664","64.2699966430664","64.2699966430664","62.83000183105469","62.83000183105469","62.83000183105469","","",""
"2301","66.70500183105469","62.75","70.66000366210938","","","","","","","","","","","","","","","","","","","","",""
"2302","","","","","","","","","","","","","","","","","","","","","","65.16999816894531","65.16999816894531","65.16999816894531"
"2366","","","","62.650001525878906","62.650001525878906","62.650001525878906","71.3499984741211","71.3499984741211","71.3499984741211","61.619998931884766","61.619998931884766","61.619998931884766","69.31999969482422","69.31999969482422","69.31999969482422","","","","","","","","",""
"2367","","","","","","","","","","","","","","","","69.31999969482422","69.31999969482422","69.31999969482422","67.75","67.75","67.75","","",""
"2433","67.11499977111816","63.2400016784668","70.98999786376953","","","","","","","","","","","","","","","","","","","","",""
"2434","","","","","","","","","","","","","","","","","","","","","","64.70999908447266","64.70999908447266","64.70999908447266"
"2503","","","","61.36000061035156","61.36000061035156","61.36000061035156","65.55999755859375","65.55999755859375","65.55999755859375","57.880001068115234","57.880001068115234","57.880001068115234","70.13999938964844","70.13999938964844","70.13999938964844","","","","","","","","",""
"2504","","","","","","","","","","","","","","","","69.13999938964844","69.13999938964844","69.13999938964844","72.56999969482422","72.56999969482422","72.56999969482422","","",""
"2630","65.3499984741211","61.099998474121094","69.5999984741211","","","","","","","","","","","","","","","","","","","","",""
"2631","","","","","","","","","","","","","","","","","","","","","","59.9900016784668","59.9900016784668","59.9900016784668"
"2705","","","","66.06999969482422","66.06999969482422","66.06999969482422","70.19999694824219","70.19999694824219","70.19999694824219","54.61000061035156","54.61000061035156","54.61000061035156","65.33000183105469","65.33000183105469","65.33000183105469","","","","","","","","",""
"2706","","","","","","","","","","","","","","","","67.69999694824219","67.69999694824219","67.69999694824219","70.83999633789062","70.83999633789062","70.83999633789062","","",""
"2762","64.4900016784668","62.11000061035156","66.87000274658203","","","","","","","","","","","","","","","","","","","","",""
"2763","","","","","","","","","","","","","","","","","","","","","","59.9900016784668","59.9900016784668","59.9900016784668"
"2842","","","","64.97000122070312","64.97000122070312","64.97000122070312","69.68000030517578","69.68000030517578","69.68000030517578","65.43000030517578","65.43000030517578","65.43000030517578","62.880001068115234","62.880001068115234","62.880001068115234","","","","","","","","",""
"2843","","","","","","","","","","","","","","","","68.29000091552734","68.29000091552734","68.29000091552734","68.86000061035156","68.86000061035156","68.86000061035156","","",""
"2959","63.55000114440918","60.7400016784668","66.36000061035156","","","","","","","","","","","","","","","","","","","","",""
"2960","","","","","","","","","","","","","","","","","","","","","","60.95000076293945","60.95000076293945","60.95000076293945"
"3044","","","","65.81999969482422","65.81999969482422","65.81999969482422","67.56999969482422","67.56999969482422","67.56999969482422","61.75","61.75","61.75","63.13999938964844","63.13999938964844","63.13999938964844","","","","","","","","",""
"3045","","","","","","","","","","","","","","","","65.22000122070312","65.22000122070312","65.22000122070312","65.66000366210938","65.66000366210938","65.66000366210938","","",""
"3091","63.67499923706055","62.36000061035156","64.98999786376953","","","","","","","","","","","","","","","","","","","","",""
"3092","","","","","","","","","","","","","","","","","","","","","","58.2400016784668","58.2400016784668","58.2400016784668"
"3181","","","","60.560001373291016","60.560001373291016","60.560001373291016","65.55999755859375","65.55999755859375","65.55999755859375","66.1500015258789","66.1500015258789","66.1500015258789","66.36000061035156","66.36000061035156","66.36000061035156","","","","","","","","",""
"3182","","","","","","","","","","","","","","","","66.58999633789062","66.58999633789062","66.58999633789062","68.01000213623047","68.01000213623047","68.01000213623047","","",""
"3288","62.01500129699707","59.9900016784668","64.04000091552734","","","","","","","","","","","","","","","","","","","","",""
"3289","","","","","","","","","","","","","","","","","","","","","","58.86000061035156","58.86000061035156","58.86000061035156"
"3383","","","","66.27999877929688","66.27999877929688","66.27999877929688","61.79999923706055","61.79999923706055","61.79999923706055","56.75","56.75","56.75","64.2699966430664","64.2699966430664","64.2699966430664","","","","","","","","",""
"3384","","","","","","","","","","","","","","","","60.22999954223633","60.22999954223633","60.22999954223633","65.81999969482422","65.81999969482422","65.81999969482422","","",""
"3420","61.845001220703125","58.290000915527344","65.4000015258789","","","","","","","","","","","","","","","","","","","","",""
"3421","","","","","","","","","","","","","","","","","","","","","","59.040000915527344","59.040000915527344","59.040000915527344"
"3520","","","","60.18000030517578","60.18000030517578","60.18000030517578","66.55999755859375","66.55999755859375","66.55999755859375","69.2699966430664","69.2699966430664","69.2699966430664","67.5199966430664","67.5199966430664","67.5199966430664","","","","","","","","",""
"3521","","","","","","","","","","","","","","","","60.869998931884766","60.869998931884766","60.869998931884766","67.02999877929688","67.02999877929688","67.02999877929688","","",""
"3617","64.34499740600586","62.66999816894531","66.0199966430664","","","","","","","","","","","","","","","","","","","","",""
"3618","","","","","","","","","","","","","","","","","","","","","","56.650001525878906","56.650001525878906","56.650001525878906"
"3722","","","","66","66","66","64.44999694824219","64.44999694824219","64.44999694824219","66.87000274658203","66.87000274658203","66.87000274658203","67.36000061035156","67.36000061035156","67.36000061035156","","","","","","","","",""
"3723","","","","","","","","","","","","","","","","64.22000122070312","64.22000122070312","64.22000122070312","68.62000274658203","68.62000274658203","68.62000274658203","","",""
"3749","60.829999923706055","60.29999923706055","61.36000061035156","","","","","","","","","","","","","","","","","","","","",""
"3750","","","","","","","","","","","","","","","","","","","","","","62.34000015258789","62.34000015258789","62.34000015258789"
"3859","","","","61.75","61.75","61.75","63.9900016784668","63.9900016784668","63.9900016784668","59.61000061035156","59.61000061035156","59.61000061035156","62.56999969482422","62.56999969482422","62.56999969482422","","","","","","","","",""
"3860","","","","","","","","","","","","","","","","65.19999694824219","65.19999694824219","65.19999694824219","61.900001525878906","61.900001525878906","61.900001525878906","","",""
"3946","64.46499824523926","61.97999954223633","66.94999694824219","","","","","","","","","","","","","","","","","","","","",""
"3947","","","","","","","","","","","","","","","","","","","","","","59.16999816894531","59.16999816894531","59.16999816894531"
"4061","","","","62.4900016784668","62.4900016784668","62.4900016784668","63.72999954223633","63.72999954223633","63.72999954223633","62.959999084472656","62.959999084472656","62.959999084472656","61.36000061035156","61.36000061035156","61.36000061035156","","","","","","","","",""
"4062","","","","","","","","","","","","","","","","59.630001068115234","59.630001068115234","59.630001068115234","63.290000915527344","63.290000915527344","63.290000915527344","","",""
"4078","61.56500053405762","59.09000015258789","64.04000091552734","","","","","","","","","","","","","","","","","","","","",""
"4079","","","","","","","","","","","","","","","","","","","","","","59.16999816894531","59.16999816894531","59.16999816894531"
"4198","","","","59.7599983215332","59.7599983215332","59.7599983215332","59.529998779296875","59.529998779296875","59.529998779296875","65.66000366210938","65.66000366210938","65.66000366210938","65.22000122070312","65.22000122070312","65.22000122070312","","","","","","","","",""
"4199","","","","","","","","","","","","","","","","60.22999954223633","60.22999954223633","60.22999954223633","63.880001068115234","63.880001068115234","63.880001068115234","","",""
"4275","60.48500061035156","59.58000183105469","61.38999938964844","","","","","","","","","","","","","","","","","","","","",""
"4276","","","","","","","","","","","","","","","","","","","","","","60.869998931884766","60.869998931884766","60.869998931884766"
"4400","","","","59.65999984741211","59.65999984741211","59.65999984741211","60.91999816894531","60.91999816894531","60.91999816894531","63.290000915527344","63.290000915527344","63.290000915527344","61.97999954223633","61.97999954223633","61.97999954223633","","","","","","","","",""
"4401","","","","","","","","","","","","","","","","59.400001525878906","59.400001525878906","59.400001525878906","65.0199966430664","65.0199966430664","65.0199966430664","","",""
"4407","64.26999855041504","60.5099983215332","68.02999877929688","","","","","","","","","","","","","","","","","","","","",""
"4408","","","","","","","","","","","","","","","","","","","","","","61.720001220703125","61.720001220703125","61.720001220703125"
