"Step","Group: text10-vision0 - evaluation/blimp_average","Group: text10-vision0 - evaluation/blimp_average__MIN","Group: text10-vision0 - evaluation/blimp_average__MAX","Group: text1-vision0 - evaluation/blimp_average","Group: text1-vision0 - evaluation/blimp_average__MIN","Group: text1-vision0 - evaluation/blimp_average__MAX","Group: text1-vision100 - evaluation/blimp_average","Group: text1-vision100 - evaluation/blimp_average__MIN","Group: text1-vision100 - evaluation/blimp_average__MAX","Group: text1-vision10 - evaluation/blimp_average","Group: text1-vision10 - evaluation/blimp_average__MIN","Group: text1-vision10 - evaluation/blimp_average__MAX","Group: text1-vision1 - evaluation/blimp_average","Group: text1-vision1 - evaluation/blimp_average__MIN","Group: text1-vision1 - evaluation/blimp_average__MAX","Group: text10-vision1 - evaluation/blimp_average","Group: text10-vision1 - evaluation/blimp_average__MIN","Group: text10-vision1 - evaluation/blimp_average__MAX","Group: text10-vision10 - evaluation/blimp_average","Group: text10-vision10 - evaluation/blimp_average__MIN","Group: text10-vision10 - evaluation/blimp_average__MAX","Group: text10-vision100 - evaluation/blimp_average","Group: text10-vision100 - evaluation/blimp_average__MIN","Group: text10-vision100 - evaluation/blimp_average__MAX"
"1314","54.12583351135254","53.72916793823242","54.522499084472656","54.64041709899902","54.16666793823242","55.114166259765625","","","","","","","","","","","","","","","","","",""
"1315","54.60333251953125","54.60333251953125","54.60333251953125","","","","","","","","","","","","","","","","","","","","",""
"1349","","","","","","","54.1974983215332","54.1974983215332","54.1974983215332","54.88666534423828","54.88666534423828","54.88666534423828","55.624168395996094","55.624168395996094","55.624168395996094","56.13083267211914","56.13083267211914","56.13083267211914","","","","","",""
"1350","","","","","","","","","","","","","","","","","","","56.22083282470703","56.22083282470703","56.22083282470703","55.80083465576172","55.80083465576172","55.80083465576172"
"1446","54.67583465576172","54.40583419799805","54.94583511352539","54.70833206176758","54.272499084472656","55.1441650390625","","","","","","","","","","","","","","","","","",""
"1447","54.185001373291016","54.185001373291016","54.185001373291016","","","","","","","","","","","","","","","","","","","","",""
"1486","","","","","","","53.72083282470703","53.72083282470703","53.72083282470703","55.03333282470703","55.03333282470703","55.03333282470703","55.45083236694336","55.45083236694336","55.45083236694336","56.2400016784668","56.2400016784668","56.2400016784668","","","","","",""
"1487","","","","","","","","","","","","","","","","","","","55.5","55.5","55.5","55.98833465576172","55.98833465576172","55.98833465576172"
"1643","55.86250114440918","55.26750183105469","56.45750045776367","55.71958351135254","55.525001525878906","55.91416549682617","","","","","","","","","","","","","","","","","",""
"1644","55.89250183105469","55.89250183105469","55.89250183105469","","","","","","","","","","","","","","","","","","","","",""
"1688","","","","","","","54.13916778564453","54.13916778564453","54.13916778564453","54.40583419799805","54.40583419799805","54.40583419799805","55.266666412353516","55.266666412353516","55.266666412353516","58.85416793823242","58.85416793823242","58.85416793823242","","","","","",""
"1689","","","","","","","","","","","","","","","","","","","55.81999969482422","55.81999969482422","55.81999969482422","55.22916793823242","55.22916793823242","55.22916793823242"
"1775","56.31999969482422","55.49833297729492","57.141666412353516","56.94958305358887","56.682498931884766","57.21666717529297","","","","","","","","","","","","","","","","","",""
"1776","57.46083450317383","57.46083450317383","57.46083450317383","","","","","","","","","","","","","","","","","","","","",""
"1825","","","","","","","55.720001220703125","55.720001220703125","55.720001220703125","54.899166107177734","54.899166107177734","54.899166107177734","57.31833267211914","57.31833267211914","57.31833267211914","59.372501373291016","59.372501373291016","59.372501373291016","","","","","",""
"1826","","","","","","","","","","","","","","","","","","","54.010833740234375","54.010833740234375","54.010833740234375","54.88083267211914","54.88083267211914","54.88083267211914"
"1972","57.4829158782959","56.9908332824707","57.974998474121094","58.09083366394043","58.003334045410156","58.1783332824707","","","","","","","","","","","","","","","","","",""
"1973","59.48249816894531","59.48249816894531","59.48249816894531","","","","","","","","","","","","","","","","","","","","",""
"2027","","","","","","","57.27916717529297","57.27916717529297","57.27916717529297","56.62666702270508","56.62666702270508","56.62666702270508","58.74416732788086","58.74416732788086","58.74416732788086","60.44333267211914","60.44333267211914","60.44333267211914","","","","","",""
"2028","","","","","","","","","","","","","","","","","","","55.02333450317383","55.02333450317383","55.02333450317383","55.99416732788086","55.99416732788086","55.99416732788086"
"2104","58.52833366394043","58.19583511352539","58.86083221435547","58.811248779296875","58.779998779296875","58.842498779296875","","","","","","","","","","","","","","","","","",""
"2105","60.48583221435547","60.48583221435547","60.48583221435547","","","","","","","","","","","","","","","","","","","","",""
"2164","","","","","","","58.22416687011719","58.22416687011719","58.22416687011719","57.880001068115234","57.880001068115234","57.880001068115234","59.21333312988281","59.21333312988281","59.21333312988281","61.970001220703125","61.970001220703125","61.970001220703125","","","","","",""
"2165","","","","","","","","","","","","","","","","","","","56.26499938964844","56.26499938964844","56.26499938964844","57.290000915527344","57.290000915527344","57.290000915527344"
"2301","59.33125114440918","58.7400016784668","59.92250061035156","59.277082443237305","58.99333190917969","59.56083297729492","","","","","","","","","","","","","","","","","",""
"2302","61.03916549682617","61.03916549682617","61.03916549682617","","","","","","","","","","","","","","","","","","","","",""
"2366","","","","","","","59.22666549682617","59.22666549682617","59.22666549682617","59.78666687011719","59.78666687011719","59.78666687011719","59.06916809082031","59.06916809082031","59.06916809082031","62.74583435058594","62.74583435058594","62.74583435058594","","","","","",""
"2367","","","","","","","","","","","","","","","","","","","58.99583435058594","58.99583435058594","58.99583435058594","58.88833236694336","58.88833236694336","58.88833236694336"
"2433","60.0887508392334","59.464168548583984","60.71333312988281","60.094167709350586","59.99250030517578","60.19583511352539","","","","","","","","","","","","","","","","","",""
"2434","61.249168395996094","61.249168395996094","61.249168395996094","","","","","","","","","","","","","","","","","","","","",""
"2503","","","","","","","60.16999816894531","60.16999816894531","60.16999816894531","59.224998474121094","59.224998474121094","59.224998474121094","60.41749954223633","60.41749954223633","60.41749954223633","63.253334045410156","63.253334045410156","63.253334045410156","","","","","",""
"2504","","","","","","","","","","","","","","","","","","","59.7691650390625","59.7691650390625","59.7691650390625","59.32666778564453","59.32666778564453","59.32666778564453"
"2630","60.6391658782959","59.750831604003906","61.52750015258789","60.74749946594238","60.375831604003906","61.11916732788086","","","","","","","","","","","","","","","","","",""
"2631","61.69916534423828","61.69916534423828","61.69916534423828","","","","","","","","","","","","","","","","","","","","",""
