"trainer/global_step","Group: text1-vision0 - _step","Group: text1-vision0 - _step__MIN","Group: text1-vision0 - _step__MAX","Group: text1-vision0 - evaluation/pseudo_perplexity","Group: text1-vision0 - evaluation/pseudo_perplexity__MIN","Group: text1-vision0 - evaluation/pseudo_perplexity__MAX","Group: text1-vision100 - _step","Group: text1-vision100 - _step__MIN","Group: text1-vision100 - _step__MAX","Group: text1-vision100 - evaluation/pseudo_perplexity","Group: text1-vision100 - evaluation/pseudo_perplexity__MIN","Group: text1-vision100 - evaluation/pseudo_perplexity__MAX","Group: text1-vision10 - _step","Group: text1-vision10 - _step__MIN","Group: text1-vision10 - _step__MAX","Group: text1-vision10 - evaluation/pseudo_perplexity","Group: text1-vision10 - evaluation/pseudo_perplexity__MIN","Group: text1-vision10 - evaluation/pseudo_perplexity__MAX","Group: text1-vision1 - _step","Group: text1-vision1 - _step__MIN","Group: text1-vision1 - _step__MAX","Group: text1-vision1 - evaluation/pseudo_perplexity","Group: text1-vision1 - evaluation/pseudo_perplexity__MIN","Group: text1-vision1 - evaluation/pseudo_perplexity__MAX"
"5124","","","","","","","6910","6910","6910","21.739452362060547","21.739452362060547","21.739452362060547","6910","6910","6910","22.528430938720703","22.528430938720703","22.528430938720703","7380","7380","7380","21.639076232910156","21.639076232910156","21.639076232910156"
"5249","","","","","","","7112","7112","7112","21.63151741027832","21.63151741027832","21.63151741027832","7112","7112","7112","22.808563232421875","22.808563232421875","22.808563232421875","7582","7582","7582","21.508922576904297","21.508922576904297","21.508922576904297"
"5374","","","","","","","7249","7249","7249","21.514925003051758","21.514925003051758","21.514925003051758","7249","7249","7249","22.799388885498047","22.799388885498047","22.799388885498047","7719","7719","7719","21.538936614990234","21.538936614990234","21.538936614990234"
"5499","","","","","","","7451","7451","7451","21.60721778869629","21.60721778869629","21.60721778869629","7451","7451","7451","22.882076263427734","22.882076263427734","22.882076263427734","7921","7921","7921","21.701976776123047","21.701976776123047","21.701976776123047"
"5624","","","","","","","7588","7588","7588","21.90974235534668","21.90974235534668","21.90974235534668","7588","7588","7588","22.68355941772461","22.68355941772461","22.68355941772461","8058","8058","8058","21.579727172851562","21.579727172851562","21.579727172851562"
"5749","","","","","","","7790","7790","7790","21.667570114135742","21.667570114135742","21.667570114135742","7790","7790","7790","23.088762283325195","23.088762283325195","23.088762283325195","8260","8260","8260","21.367332458496094","21.367332458496094","21.367332458496094"
"5874","","","","","","","7927","7927","7927","21.76613998413086","21.76613998413086","21.76613998413086","7927","7927","7927","22.992198944091797","22.992198944091797","22.992198944091797","8397","8397","8397","21.461322784423828","21.461322784423828","21.461322784423828"
"5999","","","","","","","8129","8129","8129","21.911972045898438","21.911972045898438","21.911972045898438","8129","8129","8129","23.38321304321289","23.38321304321289","23.38321304321289","8599","8599","8599","21.607418060302734","21.607418060302734","21.607418060302734"
"6124","","","","","","","8266","8266","8266","21.831985473632812","21.831985473632812","21.831985473632812","","","","","","","8736","8736","8736","22.011619567871094","22.011619567871094","22.011619567871094"
"6249","","","","","","","8468","8468","8468","21.988319396972656","21.988319396972656","21.988319396972656","","","","","","","","","","","",""
