"Step","Group: text1-vision100 - evaluation/blimp/quantifiers","Group: text1-vision100 - evaluation/blimp/quantifiers__MIN","Group: text1-vision100 - evaluation/blimp/quantifiers__MAX","Group: text1-vision10 - evaluation/blimp/quantifiers","Group: text1-vision10 - evaluation/blimp/quantifiers__MIN","Group: text1-vision10 - evaluation/blimp/quantifiers__MAX","Group: text10-vision10 - evaluation/blimp/quantifiers","Group: text10-vision10 - evaluation/blimp/quantifiers__MIN","Group: text10-vision10 - evaluation/blimp/quantifiers__MAX","Group: text10-vision100 - evaluation/blimp/quantifiers","Group: text10-vision100 - evaluation/blimp/quantifiers__MIN","Group: text10-vision100 - evaluation/blimp/quantifiers__MAX","Group: text1-vision1 - evaluation/blimp/quantifiers","Group: text1-vision1 - evaluation/blimp/quantifiers__MIN","Group: text1-vision1 - evaluation/blimp/quantifiers__MAX","Group: text10-vision1 - evaluation/blimp/quantifiers","Group: text10-vision1 - evaluation/blimp/quantifiers__MIN","Group: text10-vision1 - evaluation/blimp/quantifiers__MAX","Group: text10-vision0 - evaluation/blimp/quantifiers","Group: text10-vision0 - evaluation/blimp/quantifiers__MIN","Group: text10-vision0 - evaluation/blimp/quantifiers__MAX","Group: text1-vision0 - evaluation/blimp/quantifiers","Group: text1-vision0 - evaluation/blimp/quantifiers__MIN","Group: text1-vision0 - evaluation/blimp/quantifiers__MAX"
"87","","","","","","","","","","","","","","","","46.90999984741211","46.90999984741211","46.90999984741211","47.13999938964844","47.13999938964844","47.13999938964844","","",""
"130","","","","","","","","","","","","","","","","","","","","","","48.869998931884766","48.869998931884766","48.869998931884766"
"131","","","","","","","","","","","","","45.310001373291016","45.310001373291016","45.310001373291016","","","","","","","","",""
"145","43.81999969482422","43.81999969482422","43.81999969482422","44.150001525878906","44.150001525878906","44.150001525878906","","","","","","","","","","","","","","","","","",""
"166","","","","","","","55.4900016784668","55.4900016784668","55.4900016784668","55.66999816894531","55.66999816894531","55.66999816894531","","","","","","","","","","","",""
"261","","","","","","","","","","","","","","","","","","","48.939998626708984","48.939998626708984","48.939998626708984","","",""
"266","","","","","","","","","","","","","","","","50.36000061035156","50.36000061035156","50.36000061035156","","","","","",""
"304","","","","","","","","","","","","","","","","","","","","","","45.38999938964844","45.38999938964844","45.38999938964844"
"332","33.849998474121094","33.849998474121094","33.849998474121094","34.93000030517578","34.93000030517578","34.93000030517578","","","","","","","","","","","","","","","","","",""
"333","","","","","","","","","","","","","57.90999984741211","57.90999984741211","57.90999984741211","","","","","","","","",""
"338","","","","","","","31.989999771118164","31.989999771118164","31.989999771118164","33.439998626708984","33.439998626708984","33.439998626708984","","","","","","","","","","","",""
"435","","","","","","","","","","","","","","","","","","","58.060001373291016","58.060001373291016","58.060001373291016","","",""
"445","","","","","","","","","","","","","","","","54.349998474121094","54.349998474121094","54.349998474121094","","","","","",""
"470","","","","","","","","","","","","","34.70000076293945","34.70000076293945","34.70000076293945","","","","","","","","",""
"478","","","","","","","","","","","","","","","","","","","","","","34.66999816894531","34.66999816894531","34.66999816894531"
"483","29.829999923706055","29.829999923706055","29.829999923706055","28.6200008392334","28.6200008392334","28.6200008392334","","","","","","","","","","","","","","","","","",""
"510","","","","","","","34.779998779296875","34.779998779296875","34.779998779296875","31.040000915527344","31.040000915527344","31.040000915527344","","","","","","","","","","","",""
"609","","","","","","","","","","","","","","","","","","","44.40999984741211","44.40999984741211","44.40999984741211","","",""
"624","","","","","","","","","","","","","","","","36.189998626708984","36.189998626708984","36.189998626708984","","","","","",""
"652","","","","","","","","","","","","","","","","","","","","","","32.25","32.25","32.25"
"670","38.279998779296875","38.279998779296875","38.279998779296875","37.7400016784668","37.7400016784668","37.7400016784668","","","","","","","","","","","","","","","","","",""
