"Step","Group: text1-vision10 - evaluation/blimp/anaphor_agreement","Group: text1-vision10 - evaluation/blimp/anaphor_agreement__MIN","Group: text1-vision10 - evaluation/blimp/anaphor_agreement__MAX","Group: text10-vision100 - evaluation/blimp/anaphor_agreement","Group: text10-vision100 - evaluation/blimp/anaphor_agreement__MIN","Group: text10-vision100 - evaluation/blimp/anaphor_agreement__MAX","Group: text1-vision100 - evaluation/blimp/anaphor_agreement","Group: text1-vision100 - evaluation/blimp/anaphor_agreement__MIN","Group: text1-vision100 - evaluation/blimp/anaphor_agreement__MAX","Group: text10-vision10 - evaluation/blimp/anaphor_agreement","Group: text10-vision10 - evaluation/blimp/anaphor_agreement__MIN","Group: text10-vision10 - evaluation/blimp/anaphor_agreement__MAX","Group: text1-vision1 - evaluation/blimp/anaphor_agreement","Group: text1-vision1 - evaluation/blimp/anaphor_agreement__MIN","Group: text1-vision1 - evaluation/blimp/anaphor_agreement__MAX","Group: text10-vision1 - evaluation/blimp/anaphor_agreement","Group: text10-vision1 - evaluation/blimp/anaphor_agreement__MIN","Group: text10-vision1 - evaluation/blimp/anaphor_agreement__MAX","Group: text10-vision0 - evaluation/blimp/anaphor_agreement","Group: text10-vision0 - evaluation/blimp/anaphor_agreement__MIN","Group: text10-vision0 - evaluation/blimp/anaphor_agreement__MAX","Group: text1-vision0 - evaluation/blimp/anaphor_agreement","Group: text1-vision0 - evaluation/blimp/anaphor_agreement__MIN","Group: text1-vision0 - evaluation/blimp/anaphor_agreement__MAX"
"1346","57.459999084472656","57.459999084472656","57.459999084472656","","","","52.7599983215332","52.7599983215332","52.7599983215332","","","","","","","","","","","","","","",""
"1370","","","","48.81999969482422","48.81999969482422","48.81999969482422","","","","54.54999923706055","54.54999923706055","54.54999923706055","","","","","","","","","","","",""
"1376","","","","","","","","","","","","","47.09000015258789","47.09000015258789","47.09000015258789","","","","","","","","",""
"1393","","","","","","","","","","","","","","","","","","","47.900001525878906","47.900001525878906","47.900001525878906","","",""
"1433","","","","","","","","","","","","","","","","57.66999816894531","57.66999816894531","57.66999816894531","","","","","",""
"1479","","","","","","","","","","","","","","","","","","","","","","55.880001068115234","55.880001068115234","55.880001068115234"
"1533","64.11000061035156","64.11000061035156","64.11000061035156","","","","58.029998779296875","58.029998779296875","58.029998779296875","","","","","","","","","","","","","","",""
"1542","","","","54.75","54.75","54.75","","","","57.56999969482422","57.56999969482422","57.56999969482422","","","","","","","","","","","",""
"1555","","","","","","","","","","","","","53.529998779296875","53.529998779296875","53.529998779296875","","","","","","","","",""
"1567","","","","","","","","","","","","","","","","","","","46.779998779296875","46.779998779296875","46.779998779296875","","",""
"1612","","","","","","","","","","","","","","","","60.43000030517578","60.43000030517578","60.43000030517578","","","","","",""
"1653","","","","","","","","","","","","","","","","","","","","","","66.36000061035156","66.36000061035156","66.36000061035156"
"1684","69.83999633789062","69.83999633789062","69.83999633789062","","","","62.220001220703125","62.220001220703125","62.220001220703125","","","","","","","","","","","","","","",""
"1714","","","","61.7599983215332","61.7599983215332","61.7599983215332","","","","66.97000122070312","66.97000122070312","66.97000122070312","","","","","","","","","","","",""
"1734","","","","","","","","","","","","","52.970001220703125","52.970001220703125","52.970001220703125","","","","","","","","",""
"1741","","","","","","","","","","","","","","","","","","","48.880001068115234","48.880001068115234","48.880001068115234","","",""
"1784","","","","","","","","","","","","","","","","","","","","","","64.41999816894531","64.41999816894531","64.41999816894531"
"1791","","","","","","","","","","","","","","","","65.63999938964844","65.63999938964844","65.63999938964844","","","","","",""
"1871","64.47000122070312","64.47000122070312","64.47000122070312","","","","68.61000061035156","68.61000061035156","68.61000061035156","","","","","","","","","","","","","","",""
"1886","","","","74.54000091552734","74.54000091552734","74.54000091552734","","","","72.29000091552734","72.29000091552734","72.29000091552734","","","","","","","","","","","",""
"1913","","","","","","","","","","","","","52.400001525878906","52.400001525878906","52.400001525878906","","","","","","","","",""
"1915","","","","","","","","","","","","","","","","","","","48.66999816894531","48.66999816894531","48.66999816894531","","",""
"1958","","","","","","","","","","","","","","","","","","","","","","69.79000091552734","69.79000091552734","69.79000091552734"
"1970","","","","","","","","","","","","","","","","61.7599983215332","61.7599983215332","61.7599983215332","","","","","",""
"2022","68.51000213623047","68.51000213623047","68.51000213623047","","","","68.70999908447266","68.70999908447266","68.70999908447266","","","","","","","","","","","","","","",""
"2058","","","","72.6500015258789","72.6500015258789","72.6500015258789","","","","70.76000213623047","70.76000213623047","70.76000213623047","","","","","","","","","","","",""
"2089","","","","","","","","","","","","","","","","","","","48.36000061035156","48.36000061035156","48.36000061035156","","",""
"2092","","","","","","","","","","","","","50.970001220703125","50.970001220703125","50.970001220703125","","","","","","","","",""
"2132","","","","","","","","","","","","","","","","","","","","","","68.0999984741211","68.0999984741211","68.0999984741211"
"2149","","","","","","","","","","","","","","","","64.62000274658203","64.62000274658203","64.62000274658203","","","","","",""
"2209","70.30000305175781","70.30000305175781","70.30000305175781","","","","69.94000244140625","69.94000244140625","69.94000244140625","","","","","","","","","","","","","","",""
"2230","","","","82.45999908447266","82.45999908447266","82.45999908447266","","","","83.63999938964844","83.63999938964844","83.63999938964844","","","","","","","","","","","",""
"2263","","","","","","","","","","","","","","","","","","","50.150001525878906","50.150001525878906","50.150001525878906","","",""
"2271","","","","","","","","","","","","","63.34000015258789","63.34000015258789","63.34000015258789","","","","","","","","",""
