"Step","Group: text10-vision10 - evaluation/blimp/npi_licensing","Group: text10-vision10 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision10 - evaluation/blimp/npi_licensing__MAX","Group: text10-vision100 - evaluation/blimp/npi_licensing","Group: text10-vision100 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision100 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision100 - evaluation/blimp/npi_licensing","Group: text1-vision100 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision100 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision10 - evaluation/blimp/npi_licensing","Group: text1-vision10 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision10 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision1 - evaluation/blimp/npi_licensing","Group: text1-vision1 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision1 - evaluation/blimp/npi_licensing__MAX","Group: text10-vision1 - evaluation/blimp/npi_licensing","Group: text10-vision1 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision1 - evaluation/blimp/npi_licensing__MAX","Group: text10-vision0 - evaluation/blimp/npi_licensing","Group: text10-vision0 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision0 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision0 - evaluation/blimp/npi_licensing","Group: text1-vision0 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision0 - evaluation/blimp/npi_licensing__MAX"
"1346","","","","","","","53.400001525878906","53.400001525878906","53.400001525878906","54.65999984741211","54.65999984741211","54.65999984741211","","","","","","","","","","","",""
"1370","49.970001220703125","49.970001220703125","49.970001220703125","47.65999984741211","47.65999984741211","47.65999984741211","","","","","","","","","","","","","","","","","",""
"1376","","","","","","","","","","","","","47.130001068115234","47.130001068115234","47.130001068115234","","","","","","","","",""
"1393","","","","","","","","","","","","","","","","","","","39.02000045776367","39.02000045776367","39.02000045776367","","",""
"1433","","","","","","","","","","","","","","","","35.20000076293945","35.20000076293945","35.20000076293945","","","","","",""
"1479","","","","","","","","","","","","","","","","","","","","","","53.0099983215332","53.0099983215332","53.0099983215332"
"1533","","","","","","","51.689998626708984","51.689998626708984","51.689998626708984","52.70000076293945","52.70000076293945","52.70000076293945","","","","","","","","","","","",""
"1542","49.41999816894531","49.41999816894531","49.41999816894531","47.97999954223633","47.97999954223633","47.97999954223633","","","","","","","","","","","","","","","","","",""
"1555","","","","","","","","","","","","","44.959999084472656","44.959999084472656","44.959999084472656","","","","","","","","",""
"1567","","","","","","","","","","","","","","","","","","","40.02000045776367","40.02000045776367","40.02000045776367","","",""
"1612","","","","","","","","","","","","","","","","39.689998626708984","39.689998626708984","39.689998626708984","","","","","",""
"1653","","","","","","","","","","","","","","","","","","","","","","51.209999084472656","51.209999084472656","51.209999084472656"
