"Step","Group: text1-vision100 - evaluation/blimp/binding","Group: text1-vision100 - evaluation/blimp/binding__MIN","Group: text1-vision100 - evaluation/blimp/binding__MAX","Group: text1-vision10 - evaluation/blimp/binding","Group: text1-vision10 - evaluation/blimp/binding__MIN","Group: text1-vision10 - evaluation/blimp/binding__MAX","Group: text10-vision10 - evaluation/blimp/binding","Group: text10-vision10 - evaluation/blimp/binding__MIN","Group: text10-vision10 - evaluation/blimp/binding__MAX","Group: text10-vision100 - evaluation/blimp/binding","Group: text10-vision100 - evaluation/blimp/binding__MIN","Group: text10-vision100 - evaluation/blimp/binding__MAX","Group: text1-vision1 - evaluation/blimp/binding","Group: text1-vision1 - evaluation/blimp/binding__MIN","Group: text1-vision1 - evaluation/blimp/binding__MAX","Group: text10-vision1 - evaluation/blimp/binding","Group: text10-vision1 - evaluation/blimp/binding__MIN","Group: text10-vision1 - evaluation/blimp/binding__MAX","Group: text10-vision0 - evaluation/blimp/binding","Group: text10-vision0 - evaluation/blimp/binding__MIN","Group: text10-vision0 - evaluation/blimp/binding__MAX","Group: text1-vision0 - evaluation/blimp/binding","Group: text1-vision0 - evaluation/blimp/binding__MIN","Group: text1-vision0 - evaluation/blimp/binding__MAX"
"1393","","","","","","","","","","","","","","","","","","","64.08000183105469","64.08000183105469","64.08000183105469","","",""
"1433","","","","","","","","","","","","","","","","61.7400016784668","61.7400016784668","61.7400016784668","","","","","",""
"1479","","","","","","","","","","","","","","","","","","","","","","57.08000183105469","57.08000183105469","57.08000183105469"
"1533","54.2599983215332","54.2599983215332","54.2599983215332","54.189998626708984","54.189998626708984","54.189998626708984","","","","","","","","","","","","","","","","","",""
"1542","","","","","","","57.33000183105469","57.33000183105469","57.33000183105469","56.4900016784668","56.4900016784668","56.4900016784668","","","","","","","","","","","",""
"1555","","","","","","","","","","","","","64.80000305175781","64.80000305175781","64.80000305175781","","","","","","","","",""
"1567","","","","","","","","","","","","","","","","","","","64.25","64.25","64.25","","",""
"1612","","","","","","","","","","","","","","","","61.439998626708984","61.439998626708984","61.439998626708984","","","","","",""
"1653","","","","","","","","","","","","","","","","","","","","","","56.52000045776367","56.52000045776367","56.52000045776367"
"1684","54.849998474121094","54.849998474121094","54.849998474121094","54.29999923706055","54.29999923706055","54.29999923706055","","","","","","","","","","","","","","","","","",""
"1714","","","","","","","57.810001373291016","57.810001373291016","57.810001373291016","55.2400016784668","55.2400016784668","55.2400016784668","","","","","","","","","","","",""
"1734","","","","","","","","","","","","","61.959999084472656","61.959999084472656","61.959999084472656","","","","","","","","",""
"1741","","","","","","","","","","","","","","","","","","","61.720001220703125","61.720001220703125","61.720001220703125","","",""
"1784","","","","","","","","","","","","","","","","","","","","","","57.2400016784668","57.2400016784668","57.2400016784668"
"1791","","","","","","","","","","","","","","","","59.84000015258789","59.84000015258789","59.84000015258789","","","","","",""
"1871","53.95000076293945","53.95000076293945","53.95000076293945","55.150001525878906","55.150001525878906","55.150001525878906","","","","","","","","","","","","","","","","","",""
"1886","","","","","","","58.060001373291016","58.060001373291016","58.060001373291016","54.72999954223633","54.72999954223633","54.72999954223633","","","","","","","","","","","",""
"1913","","","","","","","","","","","","","59.650001525878906","59.650001525878906","59.650001525878906","","","","","","","","",""
"1915","","","","","","","","","","","","","","","","","","","62.45000076293945","62.45000076293945","62.45000076293945","","",""
"1958","","","","","","","","","","","","","","","","","","","","","","56.16999816894531","56.16999816894531","56.16999816894531"
"1970","","","","","","","","","","","","","","","","60.54999923706055","60.54999923706055","60.54999923706055","","","","","",""
"2022","54.779998779296875","54.779998779296875","54.779998779296875","53.66999816894531","53.66999816894531","53.66999816894531","","","","","","","","","","","","","","","","","",""
"2058","","","","","","","58.7599983215332","58.7599983215332","58.7599983215332","55.880001068115234","55.880001068115234","55.880001068115234","","","","","","","","","","","",""
"2089","","","","","","","","","","","","","","","","","","","62.36000061035156","62.36000061035156","62.36000061035156","","",""
"2092","","","","","","","","","","","","","60.95000076293945","60.95000076293945","60.95000076293945","","","","","","","","",""
"2132","","","","","","","","","","","","","","","","","","","","","","59.06999969482422","59.06999969482422","59.06999969482422"
"2149","","","","","","","","","","","","","","","","59.02000045776367","59.02000045776367","59.02000045776367","","","","","",""
"2209","55.04999923706055","55.04999923706055","55.04999923706055","55.5099983215332","55.5099983215332","55.5099983215332","","","","","","","","","","","","","","","","","",""
"2230","","","","","","","55.95000076293945","55.95000076293945","55.95000076293945","54.9900016784668","54.9900016784668","54.9900016784668","","","","","","","","","","","",""
"2263","","","","","","","","","","","","","","","","","","","58.58000183105469","58.58000183105469","58.58000183105469","","",""
"2271","","","","","","","","","","","","","58.72999954223633","58.72999954223633","58.72999954223633","","","","","","","","",""
"2306","","","","","","","","","","","","","","","","","","","","","","57.61000061035156","57.61000061035156","57.61000061035156"
"2328","","","","","","","","","","","","","","","","58.81999969482422","58.81999969482422","58.81999969482422","","","","","",""
"2396","53.400001525878906","53.400001525878906","53.400001525878906","53.88999938964844","53.88999938964844","53.88999938964844","","","","","","","","","","","","","","","","","",""
"2402","","","","","","","55.54999923706055","55.54999923706055","55.54999923706055","56.13999938964844","56.13999938964844","56.13999938964844","","","","","","","","","","","",""
"2437","","","","","","","","","","","","","","","","","","","59.599998474121094","59.599998474121094","59.599998474121094","","",""
"2450","","","","","","","","","","","","","55.36000061035156","55.36000061035156","55.36000061035156","","","","","","","","",""
"2480","","","","","","","","","","","","","","","","","","","","","","56.810001373291016","56.810001373291016","56.810001373291016"
"2507","","","","","","","","","","","","","","","","58.650001525878906","58.650001525878906","58.650001525878906","","","","","",""
"2543","","","","","","","","","","","","","54.380001068115234","54.380001068115234","54.380001068115234","","","","","","","","",""
"2547","55.34000015258789","55.34000015258789","55.34000015258789","54.869998931884766","54.869998931884766","54.869998931884766","","","","","","","","","","","","","","","","","",""
"2574","","","","","","","56.630001068115234","56.630001068115234","56.630001068115234","55.939998626708984","55.939998626708984","55.939998626708984","","","","","","","","","","","",""
"2611","","","","","","","","","","","","","","","","","","","58.279998779296875","58.279998779296875","58.279998779296875","57.540000915527344","57.540000915527344","57.540000915527344"
"2614","","","","","","","56.720001220703125","56.720001220703125","56.720001220703125","","","","","","","","","","","","","","",""
"2686","","","","","","","","","","","","","","","","56.93000030517578","56.93000030517578","56.93000030517578","","","","","",""
"2700","","","","","","","","","","55.060001373291016","55.060001373291016","55.060001373291016","","","","","","","","","","","",""
"2722","","","","","","","","","","","","","55.88999938964844","55.88999938964844","55.88999938964844","","","","","","","","",""
