"Step","Group: text1-vision100 - evaluation/blimp/control_raising","Group: text1-vision100 - evaluation/blimp/control_raising__MIN","Group: text1-vision100 - evaluation/blimp/control_raising__MAX","Group: text1-vision10 - evaluation/blimp/control_raising","Group: text1-vision10 - evaluation/blimp/control_raising__MIN","Group: text1-vision10 - evaluation/blimp/control_raising__MAX","Group: text10-vision10 - evaluation/blimp/control_raising","Group: text10-vision10 - evaluation/blimp/control_raising__MIN","Group: text10-vision10 - evaluation/blimp/control_raising__MAX","Group: text10-vision100 - evaluation/blimp/control_raising","Group: text10-vision100 - evaluation/blimp/control_raising__MIN","Group: text10-vision100 - evaluation/blimp/control_raising__MAX","Group: text1-vision1 - evaluation/blimp/control_raising","Group: text1-vision1 - evaluation/blimp/control_raising__MIN","Group: text1-vision1 - evaluation/blimp/control_raising__MAX","Group: text10-vision1 - evaluation/blimp/control_raising","Group: text10-vision1 - evaluation/blimp/control_raising__MIN","Group: text10-vision1 - evaluation/blimp/control_raising__MAX","Group: text10-vision0 - evaluation/blimp/control_raising","Group: text10-vision0 - evaluation/blimp/control_raising__MIN","Group: text10-vision0 - evaluation/blimp/control_raising__MAX","Group: text1-vision0 - evaluation/blimp/control_raising","Group: text1-vision0 - evaluation/blimp/control_raising__MIN","Group: text1-vision0 - evaluation/blimp/control_raising__MAX"
"1370","","","","","","","57.58000183105469","57.58000183105469","57.58000183105469","57.34000015258789","57.34000015258789","57.34000015258789","","","","","","","","","","","",""
"1376","","","","","","","","","","","","","58.41999816894531","58.41999816894531","58.41999816894531","","","","","","","","",""
"1393","","","","","","","","","","","","","","","","","","","59.2599983215332","59.2599983215332","59.2599983215332","","",""
"1433","","","","","","","","","","","","","","","","59.279998779296875","59.279998779296875","59.279998779296875","","","","","",""
"1479","","","","","","","","","","","","","","","","","","","","","","59.040000915527344","59.040000915527344","59.040000915527344"
"1533","56.650001525878906","56.650001525878906","56.650001525878906","57.20000076293945","57.20000076293945","57.20000076293945","","","","","","","","","","","","","","","","","",""
"1542","","","","","","","57.310001373291016","57.310001373291016","57.310001373291016","57.709999084472656","57.709999084472656","57.709999084472656","","","","","","","","","","","",""
"1555","","","","","","","","","","","","","58.459999084472656","58.459999084472656","58.459999084472656","","","","","","","","",""
"1567","","","","","","","","","","","","","","","","","","","59.61000061035156","59.61000061035156","59.61000061035156","","",""
"1612","","","","","","","","","","","","","","","","58.93000030517578","58.93000030517578","58.93000030517578","","","","","",""
"1653","","","","","","","","","","","","","","","","","","","","","","59.43000030517578","59.43000030517578","59.43000030517578"
"1684","56.91999816894531","56.91999816894531","56.91999816894531","57.72999954223633","57.72999954223633","57.72999954223633","","","","","","","","","","","","","","","","","",""
"1714","","","","","","","58.459999084472656","58.459999084472656","58.459999084472656","57.79999923706055","57.79999923706055","57.79999923706055","","","","","","","","","","","",""
"1734","","","","","","","","","","","","","58.619998931884766","58.619998931884766","58.619998931884766","","","","","","","","",""
"1741","","","","","","","","","","","","","","","","","","","59.880001068115234","59.880001068115234","59.880001068115234","","",""
"1784","","","","","","","","","","","","","","","","","","","","","","58.619998931884766","58.619998931884766","58.619998931884766"
"1791","","","","","","","","","","","","","","","","58.619998931884766","58.619998931884766","58.619998931884766","","","","","",""
"1871","57.619998931884766","57.619998931884766","57.619998931884766","58.060001373291016","58.060001373291016","58.060001373291016","","","","","","","","","","","","","","","","","",""
"1886","","","","","","","58.290000915527344","58.290000915527344","58.290000915527344","57.93000030517578","57.93000030517578","57.93000030517578","","","","","","","","","","","",""
"1913","","","","","","","","","","","","","58.81999969482422","58.81999969482422","58.81999969482422","","","","","","","","",""
"1915","","","","","","","","","","","","","","","","","","","59.2599983215332","59.2599983215332","59.2599983215332","","",""
"1958","","","","","","","","","","","","","","","","","","","","","","58","58","58"
"1970","","","","","","","","","","","","","","","","59.08000183105469","59.08000183105469","59.08000183105469","","","","","",""
"2022","58.040000915527344","58.040000915527344","58.040000915527344","58.72999954223633","58.72999954223633","58.72999954223633","","","","","","","","","","","","","","","","","",""
"2058","","","","","","","59.47999954223633","59.47999954223633","59.47999954223633","58.290000915527344","58.290000915527344","58.290000915527344","","","","","","","","","","","",""
"2089","","","","","","","","","","","","","","","","","","","59.68000030517578","59.68000030517578","59.68000030517578","","",""
"2092","","","","","","","","","","","","","58.95000076293945","58.95000076293945","58.95000076293945","","","","","","","","",""
"2132","","","","","","","","","","","","","","","","","","","","","","58.369998931884766","58.369998931884766","58.369998931884766"
"2149","","","","","","","","","","","","","","","","58.900001525878906","58.900001525878906","58.900001525878906","","","","","",""
"2209","58.59000015258789","58.59000015258789","58.59000015258789","59.0099983215332","59.0099983215332","59.0099983215332","","","","","","","","","","","","","","","","","",""
"2230","","","","","","","59.959999084472656","59.959999084472656","59.959999084472656","58.9900016784668","58.9900016784668","58.9900016784668","","","","","","","","","","","",""
"2263","","","","","","","","","","","","","","","","","","","59.31999969482422","59.31999969482422","59.31999969482422","","",""
"2271","","","","","","","","","","","","","57.66999816894531","57.66999816894531","57.66999816894531","","","","","","","","",""
"2306","","","","","","","","","","","","","","","","","","","","","","57.84000015258789","57.84000015258789","57.84000015258789"
"2328","","","","","","","","","","","","","","","","58.150001525878906","58.150001525878906","58.150001525878906","","","","","",""
"2396","59.43000030517578","59.43000030517578","59.43000030517578","59.130001068115234","59.130001068115234","59.130001068115234","","","","","","","","","","","","","","","","","",""
"2402","","","","","","","58.65999984741211","58.65999984741211","58.65999984741211","59.2599983215332","59.2599983215332","59.2599983215332","","","","","","","","","","","",""
"2437","","","","","","","","","","","","","","","","","","","58.20000076293945","58.20000076293945","58.20000076293945","","",""
"2450","","","","","","","","","","","","","57.34000015258789","57.34000015258789","57.34000015258789","","","","","","","","",""
"2480","","","","","","","","","","","","","","","","","","","","","","58.369998931884766","58.369998931884766","58.369998931884766"
"2507","","","","","","","","","","","","","","","","58.2599983215332","58.2599983215332","58.2599983215332","","","","","",""
"2543","","","","","","","","","","","","","56.97999954223633","56.97999954223633","56.97999954223633","","","","","","","","",""
"2547","59.83000183105469","59.83000183105469","59.83000183105469","59.08000183105469","59.08000183105469","59.08000183105469","","","","","","","","","","","","","","","","","",""
"2574","","","","","","","59.31999969482422","59.31999969482422","59.31999969482422","60.13999938964844","60.13999938964844","60.13999938964844","","","","","","","","","","","",""
"2611","","","","","","","","","","","","","","","","","","","58.54999923706055","58.54999923706055","58.54999923706055","59.349998474121094","59.349998474121094","59.349998474121094"
"2614","","","","","","","59.349998474121094","59.349998474121094","59.349998474121094","","","","","","","","","","","","","","",""
"2686","","","","","","","","","","","","","","","","58.439998626708984","58.439998626708984","58.439998626708984","","","","","",""
"2700","","","","","","","","","","59.52000045776367","59.52000045776367","59.52000045776367","","","","","","","","","","","",""
"2722","","","","","","","","","","","","","57.380001068115234","57.380001068115234","57.380001068115234","","","","","","","","",""
"2734","60.209999084472656","60.209999084472656","60.209999084472656","60.04999923706055","60.04999923706055","60.04999923706055","","","","","","","","","","","","","","","","","",""
"2785","","","","","","","","","","","","","","","","","","","58.77000045776367","58.77000045776367","58.77000045776367","60.779998779296875","60.779998779296875","60.779998779296875"
"2793","","","","","","","59.0099983215332","59.0099983215332","59.0099983215332","","","","","","","","","","","","","","",""
"2865","","","","","","","","","","","","","","","","58.72999954223633","58.72999954223633","58.72999954223633","","","","","",""
"2873","","","","","","","","","","","","","","","","","","","58.75","58.75","58.75","","",""
"2879","","","","","","","","","","59.47999954223633","59.47999954223633","59.47999954223633","","","","","","","","","","","",""
"2885","61.5099983215332","61.5099983215332","61.5099983215332","60.849998474121094","60.849998474121094","60.849998474121094","","","","","","","","","","","","","","","","","",""
"2901","","","","","","","","","","","","","57.41999816894531","57.41999816894531","57.41999816894531","","","","","","","","",""
"2958","","","","","","","","","","","","","","","","59.540000915527344","59.540000915527344","59.540000915527344","","","","","",""
"2959","","","","","","","","","","","","","","","","","","","","","","60.939998626708984","60.939998626708984","60.939998626708984"
"2972","","","","","","","59.790000915527344","59.790000915527344","59.790000915527344","","","","","","","","","","","","","","",""
"3047","","","","","","","","","","","","","","","","","","","59.209999084472656","59.209999084472656","59.209999084472656","","",""
"3058","","","","","","","","","","60.7599983215332","60.7599983215332","60.7599983215332","","","","","","","","","","","",""
"3072","60.720001220703125","60.720001220703125","60.720001220703125","60.119998931884766","60.119998931884766","60.119998931884766","","","","","","","","","","","","","","","","","",""
"3080","","","","","","","","","","","","","57.25","57.25","57.25","","","","","","","","",""
"3133","","","","","","","","","","","","","","","","","","","","","","61.86000061035156","61.86000061035156","61.86000061035156"
"3137","","","","","","","","","","","","","","","","58.970001220703125","58.970001220703125","58.970001220703125","","","","","",""
"3151","","","","","","","59.720001220703125","59.720001220703125","59.720001220703125","","","","","","","","","","","","","","",""
"3221","","","","","","","","","","","","","","","","","","","59.040000915527344","59.040000915527344","59.040000915527344","","",""
"3223","60.52000045776367","60.52000045776367","60.52000045776367","60.869998931884766","60.869998931884766","60.869998931884766","","","","","","","","","","","","","","","","","",""
"3237","","","","","","","","","","61","61","61","","","","","","","","","","","",""
"3259","","","","","","","","","","","","","57.58000183105469","57.58000183105469","57.58000183105469","","","","","","","","",""
"3307","","","","","","","","","","","","","","","","","","","","","","62.369998931884766","62.369998931884766","62.369998931884766"
"3316","","","","","","","","","","","","","","","","58.529998779296875","58.529998779296875","58.529998779296875","","","","","",""
"3330","","","","","","","58.9900016784668","58.9900016784668","58.9900016784668","","","","","","","","","","","","","","",""
"3395","","","","","","","","","","","","","","","","","","","58.349998474121094","58.349998474121094","58.349998474121094","","",""
"3410","62.95000076293945","62.95000076293945","62.95000076293945","61.470001220703125","61.470001220703125","61.470001220703125","","","","","","","","","","","","","","","","","",""
"3416","","","","","","","","","","60.25","60.25","60.25","","","","","","","","","","","",""
"3438","","","","","","","","","","","","","57.81999969482422","57.81999969482422","57.81999969482422","","","","","","","","",""
"3481","","","","","","","","","","","","","","","","","","","","","","62.68000030517578","62.68000030517578","62.68000030517578"
"3495","","","","","","","","","","","","","","","","58.349998474121094","58.349998474121094","58.349998474121094","","","","","",""
"3509","","","","","","","59.459999084472656","59.459999084472656","59.459999084472656","","","","","","","","","","","","","","",""
"3569","","","","","","","","","","","","","","","","","","","58.41999816894531","58.41999816894531","58.41999816894531","","",""
"3595","","","","","","","","","","59.43000030517578","59.43000030517578","59.43000030517578","","","","","","","","","","","",""
"3597","62.349998474121094","62.349998474121094","62.349998474121094","60.7599983215332","60.7599983215332","60.7599983215332","","","","","","","","","","","","","","","","","",""
"3612","","","","","","","","","","","","","","","","","","","","","","61.97999954223633","61.97999954223633","61.97999954223633"
"3617","","","","","","","","","","","","","57.470001220703125","57.470001220703125","57.470001220703125","","","","","","","","",""
"3674","","","","","","","","","","","","","","","","58.130001068115234","58.130001068115234","58.130001068115234","","","","","",""
"3688","","","","","","","59.040000915527344","59.040000915527344","59.040000915527344","","","","","","","","","","","","","","",""
"3743","","","","","","","","","","","","","","","","","","","59.08000183105469","59.08000183105469","59.08000183105469","","",""
"3748","61.95000076293945","61.95000076293945","61.95000076293945","61","61","61","","","","","","","","","","","","","","","","","",""
"3774","","","","","","","","","","60.08000183105469","60.08000183105469","60.08000183105469","","","","","","","","","","","",""
