"Step","Group: text10-vision10 - evaluation/imagenet_zeroshot/top1","Group: text10-vision10 - evaluation/imagenet_zeroshot/top1__MIN","Group: text10-vision10 - evaluation/imagenet_zeroshot/top1__MAX","Group: text10-vision100 - evaluation/imagenet_zeroshot/top1","Group: text10-vision100 - evaluation/imagenet_zeroshot/top1__MIN","Group: text10-vision100 - evaluation/imagenet_zeroshot/top1__MAX","Group: text1-vision100 - evaluation/imagenet_zeroshot/top1","Group: text1-vision100 - evaluation/imagenet_zeroshot/top1__MIN","Group: text1-vision100 - evaluation/imagenet_zeroshot/top1__MAX","Group: text1-vision10 - evaluation/imagenet_zeroshot/top1","Group: text1-vision10 - evaluation/imagenet_zeroshot/top1__MIN","Group: text1-vision10 - evaluation/imagenet_zeroshot/top1__MAX","Group: text1-vision1 - evaluation/imagenet_zeroshot/top1","Group: text1-vision1 - evaluation/imagenet_zeroshot/top1__MIN","Group: text1-vision1 - evaluation/imagenet_zeroshot/top1__MAX","Group: text10-vision1 - evaluation/imagenet_zeroshot/top1","Group: text10-vision1 - evaluation/imagenet_zeroshot/top1__MIN","Group: text10-vision1 - evaluation/imagenet_zeroshot/top1__MAX"
"5829","","","","","","","","","","","","","","","","0.000760121620260179","0.000760121620260179","0.000760121620260179"
"5843","0.01242198795080185","0.01242198795080185","0.01242198795080185","","","","","","","","","","","","","","",""
"5867","","","","","","","0.006781084928661585","0.006781084928661585","0.006781084928661585","0.005343419965356588","0.005343419965356588","0.005343419965356588","","","","","",""
"5929","","","","0.00036005760193802416","0.00036005760193802416","0.00036005760193802416","","","","","","","","","","","",""
"5951","","","","","","","","","","","","","0.004240678623318672","0.004240678623318672","0.004240678623318672","","",""
"5970","","","","","","","0.006941110361367464","0.006941110361367464","0.006941110361367464","","","","","","","","",""
"5977","","","","","","","0.006941110361367464","0.006941110361367464","0.006941110361367464","","","","","","","","",""
"6003","","","","","","","","","","0.0043828049674630165","0.0043828049674630165","0.0043828049674630165","","","","","",""
"6008","","","","","","","","","","","","","","","","0.0007001120247878134","0.0007001120247878134","0.0007001120247878134"
"6010","","","","","","","","","","0.0043828049674630165","0.0043828049674630165","0.0043828049674630165","","","","","",""
"6022","0.011921907775104046","0.011921907775104046","0.011921907775104046","","","","","","","","","","","","","","",""
"6074","","","","","","","0.006160985678434372","0.006160985678434372","0.006160985678434372","","","","","","","","",""
"6097","","","","","","","","","","0.006284021772444248","0.006284021772444248","0.006284021772444248","","","","","",""
"6108","","","","0.0005800928338430822","0.0005800928338430822","0.0005800928338430822","","","","","","","","","","","",""
"6130","","","","","","","","","","","","","0.003700592089444399","0.003700592089444399","0.003700592089444399","","",""
"6187","","","","","","","","","","","","","","","","0.0009001440485008061","0.0009001440485008061","0.0009001440485008061"
"6201","0.012822051532566547","0.012822051532566547","0.012822051532566547","","","","","","","","","","","","","","",""
"6243","","","","","","","0.006981117185205221","0.006981117185205221","0.006981117185205221","","","","","","","","",""
"6276","","","","","","","","","","0.005143291782587767","0.005143291782587767","0.005143291782587767","","","","","",""
"6287","","","","0.0005600895965471864","0.0005600895965471864","0.0005600895965471864","","","","","","","","","","","",""
"6309","","","","","","","","","","","","","0.00442070746794343","0.00442070746794343","0.00442070746794343","","",""
"6366","","","","","","","","","","","","","","","","0.0007401184411719441","0.0007401184411719441","0.0007401184411719441"
"6380","0.012121939100325108","0.012121939100325108","0.012121939100325108","","","","","","","","","","","","","","",""
"6422","","","","","","","0.006541046779602766","0.006541046779602766","0.006541046779602766","","","","","","","","",""
"6455","","","","","","","","","","0.0067643290385603905","0.0067643290385603905","0.0067643290385603905","","","","","",""
"6466","","","","0.0007001120247878134","0.0007001120247878134","0.0007001120247878134","","","","","","","","","","","",""
"6488","","","","","","","","","","","","","0.004280684981495142","0.004280684981495142","0.004280684981495142","","",""
"6545","","","","","","","","","","","","","","","","0.0009001440485008061","0.0009001440485008061","0.0009001440485008061"
