"Step","Group: text1-vision100 - evaluation/imagenet_zeroshot/top5","Group: text1-vision100 - evaluation/imagenet_zeroshot/top5__MIN","Group: text1-vision100 - evaluation/imagenet_zeroshot/top5__MAX","Group: text1-vision10 - evaluation/imagenet_zeroshot/top5","Group: text1-vision10 - evaluation/imagenet_zeroshot/top5__MIN","Group: text1-vision10 - evaluation/imagenet_zeroshot/top5__MAX","Group: text10-vision10 - evaluation/imagenet_zeroshot/top5","Group: text10-vision10 - evaluation/imagenet_zeroshot/top5__MIN","Group: text10-vision10 - evaluation/imagenet_zeroshot/top5__MAX","Group: text10-vision100 - evaluation/imagenet_zeroshot/top5","Group: text10-vision100 - evaluation/imagenet_zeroshot/top5__MIN","Group: text10-vision100 - evaluation/imagenet_zeroshot/top5__MAX","Group: text1-vision1 - evaluation/imagenet_zeroshot/top5","Group: text1-vision1 - evaluation/imagenet_zeroshot/top5__MIN","Group: text1-vision1 - evaluation/imagenet_zeroshot/top5__MAX","Group: text10-vision1 - evaluation/imagenet_zeroshot/top5","Group: text10-vision1 - evaluation/imagenet_zeroshot/top5__MIN","Group: text10-vision1 - evaluation/imagenet_zeroshot/top5__MAX"
"87","","","","","","","","","","","","","","","","0.0051208194345235825","0.0051208194345235825","0.0051208194345235825"
"145","0.005061113275587559","0.005061113275587559","0.005061113275587559","0.005181139800697565","0.005181139800697565","0.005181139800697565","","","","","","","","","","","",""
"266","","","","","","","","","","","","","","","","0.005560889840126038","0.005560889840126038","0.005560889840126038"
"332","0.004180919844657183","0.004180919844657183","0.004180919844657183","0.005221148487180471","0.005221148487180471","0.005221148487180471","","","","","","","","","","","",""
"445","","","","","","","","","","","","","","","","0.0051208194345235825","0.0051208194345235825","0.0051208194345235825"
"483","0.0061813597567379475","0.0061813597567379475","0.0061813597567379475","0.0044409772381186485","0.0044409772381186485","0.0044409772381186485","","","","","","","","","","","",""
"624","","","","","","","","","","","","","","","","0.00442070746794343","0.00442070746794343","0.00442070746794343"
"670","0.006961531471461058","0.006961531471461058","0.006961531471461058","0.004300946369767189","0.004300946369767189","0.004300946369767189","","","","","","","","","","","",""
"803","","","","","","","","","","","","","","","","0.004480716772377491","0.004480716772377491","0.004480716772377491"
"821","0.005961311515420675","0.005961311515420675","0.005961311515420675","0.00402088463306427","0.00402088463306427","0.00402088463306427","","","","","","","","","","","",""
"982","","","","","","","","","","","","","","","","0.004760761745274067","0.004760761745274067","0.004760761745274067"
"1008","0.004821060691028833","0.004821060691028833","0.004821060691028833","0.004460981581360102","0.004460981581360102","0.004460981581360102","","","","","","","","","","","",""
"1078","","","","","","","","","","","","","0.013962234370410442","0.013962234370410442","0.013962234370410442","","",""
"1161","","","","","","","","","","","","","","","","0.004600736312568188","0.004600736312568188","0.004600736312568188"
"1195","0.005381183698773384","0.005381183698773384","0.005381183698773384","0.004961091559380293","0.004961091559380293","0.004961091559380293","","","","","","","","","","","",""
"1197","","","","","","","","","","","","","0.01662265881896019","0.01662265881896019","0.01662265881896019","","",""
"1340","","","","","","","","","","","","","","","","0.0045007201842963696","0.0045007201842963696","0.0045007201842963696"
"1346","0.005321170669049025","0.005321170669049025","0.005321170669049025","0.004621016792953014","0.004621016792953014","0.004621016792953014","","","","","","","","","","","",""
