"Step","Group: text1-vision0 - evaluation/blimp/irregular_forms","Group: text1-vision0 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision0 - evaluation/blimp/irregular_forms__MAX","Group: text1-vision100 - evaluation/blimp/irregular_forms","Group: text1-vision100 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision100 - evaluation/blimp/irregular_forms__MAX","Group: text1-vision10 - evaluation/blimp/irregular_forms","Group: text1-vision10 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision10 - evaluation/blimp/irregular_forms__MAX","Group: text1-vision1 - evaluation/blimp/irregular_forms","Group: text1-vision1 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision1 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision1 - evaluation/blimp/irregular_forms","Group: text10-vision1 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision1 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision100 - evaluation/blimp/irregular_forms","Group: text10-vision100 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision100 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision10 - evaluation/blimp/irregular_forms","Group: text10-vision10 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision10 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision0 - evaluation/blimp/irregular_forms","Group: text10-vision0 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision0 - evaluation/blimp/irregular_forms__MAX"
"130","56.28499984741211","51.70000076293945","60.869998931884766","50.7400016784668","50.7400016784668","50.7400016784668","48.2400016784668","48.2400016784668","48.2400016784668","65.23999786376953","65.23999786376953","65.23999786376953","65.80000305175781","65.80000305175781","65.80000305175781","","","","","","","","",""
"131","","","","","","","","","","","","","","","","51.810001373291016","51.810001373291016","51.810001373291016","50.84000015258789","50.84000015258789","50.84000015258789","51.86000061035156","51.86000061035156","51.86000061035156"
"327","56.795000076293945","54.400001525878906","59.189998626708984","","","","","","","","","","","","","","","","","","","","",""
"328","","","","","","","","","","","","","","","","","","","","","","59.900001525878906","59.900001525878906","59.900001525878906"
"332","","","","57.20000076293945","57.20000076293945","57.20000076293945","54.810001373291016","54.810001373291016","54.810001373291016","59.75","59.75","59.75","68.55000305175781","68.55000305175781","68.55000305175781","","","","","","","","",""
"333","","","","","","","","","","","","","","","","55.52000045776367","55.52000045776367","55.52000045776367","58.52000045776367","58.52000045776367","58.52000045776367","","",""
"459","60.78499984741211","59.029998779296875","62.540000915527344","","","","","","","","","","","","","","","","","","","","",""
"460","","","","","","","","","","","","","","","","","","","","","","57.29999923706055","57.29999923706055","57.29999923706055"
"469","","","","53.4900016784668","53.4900016784668","53.4900016784668","55.97999954223633","55.97999954223633","55.97999954223633","62.849998474121094","62.849998474121094","62.849998474121094","61.58000183105469","61.58000183105469","61.58000183105469","","","","","","","","",""
"470","","","","","","","","","","","","","","","","58.41999816894531","58.41999816894531","58.41999816894531","59.290000915527344","59.290000915527344","59.290000915527344","","",""
"656","57.33000183105469","56.08000183105469","58.58000183105469","","","","","","","","","","","","","","","","","","","","",""
"657","","","","","","","","","","","","","","","","","","","","","","58.02000045776367","58.02000045776367","58.02000045776367"
"671","","","","52.41999816894531","52.41999816894531","52.41999816894531","52.2599983215332","52.2599983215332","52.2599983215332","58.97999954223633","58.97999954223633","58.97999954223633","61.68000030517578","61.68000030517578","61.68000030517578","","","","","","","","",""
"672","","","","","","","","","","","","","","","","59.63999938964844","59.63999938964844","59.63999938964844","60.04999923706055","60.04999923706055","60.04999923706055","","",""
"788","59.79499816894531","58.41999816894531","61.16999816894531","","","","","","","","","","","","","","","","","","","","",""
"789","","","","","","","","","","","","","","","","","","","","","","57.349998474121094","57.349998474121094","57.349998474121094"
"808","","","","53.7400016784668","53.7400016784668","53.7400016784668","50.7400016784668","50.7400016784668","50.7400016784668","53.59000015258789","53.59000015258789","53.59000015258789","63.04999923706055","63.04999923706055","63.04999923706055","","","","","","","","",""
"809","","","","","","","","","","","","","","","","63.40999984741211","63.40999984741211","63.40999984741211","59.290000915527344","59.290000915527344","59.290000915527344","","",""
