"Step","Group: text1-vision0 - evaluation/blimp/argument_structure","Group: text1-vision0 - evaluation/blimp/argument_structure__MIN","Group: text1-vision0 - evaluation/blimp/argument_structure__MAX","Group: text1-vision100 - evaluation/blimp/argument_structure","Group: text1-vision100 - evaluation/blimp/argument_structure__MIN","Group: text1-vision100 - evaluation/blimp/argument_structure__MAX","Group: text1-vision10 - evaluation/blimp/argument_structure","Group: text1-vision10 - evaluation/blimp/argument_structure__MIN","Group: text1-vision10 - evaluation/blimp/argument_structure__MAX","Group: text1-vision1 - evaluation/blimp/argument_structure","Group: text1-vision1 - evaluation/blimp/argument_structure__MIN","Group: text1-vision1 - evaluation/blimp/argument_structure__MAX","Group: text10-vision1 - evaluation/blimp/argument_structure","Group: text10-vision1 - evaluation/blimp/argument_structure__MIN","Group: text10-vision1 - evaluation/blimp/argument_structure__MAX","Group: text10-vision100 - evaluation/blimp/argument_structure","Group: text10-vision100 - evaluation/blimp/argument_structure__MIN","Group: text10-vision100 - evaluation/blimp/argument_structure__MAX","Group: text10-vision10 - evaluation/blimp/argument_structure","Group: text10-vision10 - evaluation/blimp/argument_structure__MIN","Group: text10-vision10 - evaluation/blimp/argument_structure__MAX","Group: text10-vision0 - evaluation/blimp/argument_structure","Group: text10-vision0 - evaluation/blimp/argument_structure__MIN","Group: text10-vision0 - evaluation/blimp/argument_structure__MAX"
"130","58.65999984741211","58.56999969482422","58.75","60.099998474121094","60.099998474121094","60.099998474121094","57.869998931884766","57.869998931884766","57.869998931884766","60.849998474121094","60.849998474121094","60.849998474121094","58.849998474121094","58.849998474121094","58.849998474121094","","","","","","","","",""
"131","","","","","","","","","","","","","","","","58.65999984741211","58.65999984741211","58.65999984741211","58.83000183105469","58.83000183105469","58.83000183105469","58.560001373291016","58.560001373291016","58.560001373291016"
"327","60.295000076293945","60.11000061035156","60.47999954223633","","","","","","","","","","","","","","","","","","","","",""
"328","","","","","","","","","","","","","","","","","","","","","","60.38999938964844","60.38999938964844","60.38999938964844"
"332","","","","61.2400016784668","61.2400016784668","61.2400016784668","60.099998474121094","60.099998474121094","60.099998474121094","61.31999969482422","61.31999969482422","61.31999969482422","61.720001220703125","61.720001220703125","61.720001220703125","","","","","","","","",""
"333","","","","","","","","","","","","","","","","60.560001373291016","60.560001373291016","60.560001373291016","60.619998931884766","60.619998931884766","60.619998931884766","","",""
"459","60.97999954223633","60.790000915527344","61.16999816894531","","","","","","","","","","","","","","","","","","","","",""
"460","","","","","","","","","","","","","","","","","","","","","","61.36000061035156","61.36000061035156","61.36000061035156"
"469","","","","61.650001525878906","61.650001525878906","61.650001525878906","61.41999816894531","61.41999816894531","61.41999816894531","61.97999954223633","61.97999954223633","61.97999954223633","61.56999969482422","61.56999969482422","61.56999969482422","","","","","","","","",""
"470","","","","","","","","","","","","","","","","61.68000030517578","61.68000030517578","61.68000030517578","61.709999084472656","61.709999084472656","61.709999084472656","","",""
